scanned 1640000 witnesses, min_distance=3, 44259711808 insertions, 191850996288 prunes
scanned 1660000 witnesses, min_distance=3, 44866604988 insertions, 194139398084 prunes
scanned 1680000 witnesses, min_distance=3, 45458587360 insertions, 196431350064 prunes
scanned 1700000 witnesses, min_distance=3, 46004853920 insertions, 198696420848 prunes
scanned 1720000 witnesses, min_distance=3, 46515018208 insertions, 200940157888 prunes
scanned 1740000 witnesses, min_distance=3, 47066111824 insertions, 203203704784 prunes
scanned 1760000 witnesses, min_distance=3, 47660633120 insertions, 205487225888 prunes
scanned 1780000 witnesses, min_distance=3, 48201850720 insertions, 207739559424 prunes
scanned 1800000 witnesses, min_distance=3, 48713566496 insertions, 209974968800 prunes
scanned 1820000 witnesses, min_distance=3, 49271323856 insertions, 212221078640 prunes
scanned 1840000 witnesses, min_distance=3, 49841083260 insertions, 214469833860 prunes
scanned 1860000 witnesses, min_distance=3, 50355699336 insertions, 216683258376 prunes
scanned 1880000 witnesses, min_distance=3, 50850041280 insertions, 218883205856 prunes
scanned 1900000 witnesses, min_distance=3, 51394738320 insertions, 221110126480 prunes
scanned 1920000 witnesses, min_distance=3, 51966060160 insertions, 223350463360 prunes
scanned 1940000 witnesses, min_distance=3, 52477041040 insertions, 225551843760 prunes
scanned 1960000 witnesses, min_distance=3, 52973540384 insertions, 227744038624 prunes
scanned 1980000 witnesses, min_distance=3, 53478745504 insertions, 229994997664 prunes
scanned 2000000 witnesses, min_distance=3, 54007228648 insertions, 232227021128 prunes
scanned 2020000 witnesses, min_distance=3, 54530889152 insertions, 234445356256 prunes
scanned 2040000 witnesses, min_distance=3, 55059470184 insertions, 236670937560 prunes
scanned 2060000 witnesses, min_distance=3, 55584293200 insertions, 238893394224 prunes
scanned 2080000 witnesses, min_distance=3, 56112424720 insertions, 241117909152 prunes
scanned 2100000 witnesses, min_distance=3, 56636179616 insertions, 243335381120 prunes
scanned 2120000 witnesses, min_distance=3, 57164749976 insertions, 245562110056 prunes
scanned 2140000 witnesses, min_distance=3, 57689517056 insertions, 247784537120 prunes
scanned 2160000 witnesses, min_distance=3, 58202070216 insertions, 249976569032 prunes
scanned 2180000 witnesses, min_distance=3, 58705979056 insertions, 252149777296 prunes
scanned 2200000 witnesses, min_distance=3, 59214662696 insertions, 254333820816 prunes
