scanned 20000 witnesses, min_distance=3, 953109972 insertions, 2495464412 prunes
scanned 40000 witnesses, min_distance=3, 1798532656 insertions, 4996871304 prunes
scanned 60000 witnesses, min_distance=3, 2694896384 insertions, 7497341568 prunes
scanned 80000 witnesses, min_distance=3, 3388092832 insertions, 9870044464 prunes
scanned 100000 witnesses, min_distance=3, 4314963944 insertions, 12371860792 prunes
scanned 120000 witnesses, min_distance=3, 5185009876 insertions, 14883247092 prunes
scanned 140000 witnesses, min_distance=3, 6028967644 insertions, 17366465772 prunes
scanned 160000 witnesses, min_distance=3, 6735619828 insertions, 19718643540 prunes
scanned 180000 witnesses, min_distance=3, 7573087824 insertions, 22160628800 prunes
scanned 200000 witnesses, min_distance=3, 8388476004 insertions, 24615849172 prunes
scanned 220000 witnesses, min_distance=3, 9162741748 insertions, 27078169684 prunes
scanned 240000 witnesses, min_distance=3, 9961228424 insertions, 29524543112 prunes
scanned 260000 witnesses, min_distance=3, 10737589928 insertions, 31964760184 prunes
scanned 280000 witnesses, min_distance=3, 11506565212 insertions, 34405691140 prunes
scanned 300000 witnesses, min_distance=3, 12474755456 insertions, 36904312488 prunes
scanned 320000 witnesses, min_distance=3, 13358600836 insertions, 39412234148 prunes
scanned 340000 witnesses, min_distance=3, 14235429928 insertions, 41918527064 prunes
scanned 360000 witnesses, min_distance=3, 15110306136 insertions, 44414248088 prunes
scanned 380000 witnesses, min_distance=3, 15981445212 insertions, 46894025836 prunes
scanned 400000 witnesses, min_distance=3, 16837261320 insertions, 49322215048 prunes
scanned 420000 witnesses, min_distance=3, 17645207068 insertions, 51782724492 prunes
scanned 440000 witnesses, min_distance=3, 18423191820 insertions, 54229236204 prunes
scanned 460000 witnesses, min_distance=3, 19209114148 insertions, 56685179604 prunes
scanned 480000 witnesses, min_distance=3, 19995405488 insertions, 59126733744 prunes
scanned 500000 witnesses, min_distance=3, 20756794912 insertions, 61563644768 prunes
scanned 520000 witnesses, min_distance=3, 21706044012 insertions, 64049617196 prunes
scanned 540000 witnesses, min_distance=3, 22590986032 insertions, 66550476256 prunes
scanned 560000 witnesses, min_distance=3, 23464125648 insertions, 69068082704 prunes
scanned 580000 witnesses, min_distance=3, 24346331680 insertions, 71559806640 prunes
scanned 600000 witnesses, min_distance=2, 25202652868 insertions, 74056286004 prunes
scanned 620000 witnesses, min_distance=2, 26232029138 insertions, 76545968114 prunes
scanned 640000 witnesses, min_distance=2, 27263624816 insertions, 79034011528 prunes
scanned 660000 witnesses, min_distance=2, 28203080792 insertions, 81542635992 prunes
scanned 680000 witnesses, min_distance=2, 29255736558 insertions, 84031208006 prunes
scanned 700000 witnesses, min_distance=2, 30346991108 insertions, 86517994716 prunes
scanned 720000 witnesses, min_distance=2, 31423450816 insertions, 89015766088 prunes
scanned 740000 witnesses, min_distance=2, 32442635464 insertions, 91503711288 prunes
scanned 760000 witnesses, min_distance=2, 33477933820 insertions, 93987041212 prunes
scanned 780000 witnesses, min_distance=2, 34512580356 insertions, 96473112340 prunes
scanned 800000 witnesses, min_distance=2, 35536526556 insertions, 98970630572 prunes
scanned 820000 witnesses, min_distance=2, 36570672244 insertions, 101471090356 prunes
scanned 840000 witnesses, min_distance=2, 37604403564 insertions, 103974390492 prunes
scanned 860000 witnesses, min_distance=2, 38632298404 insertions, 106468472068 prunes
scanned 880000 witnesses, min_distance=2, 39542614300 insertions, 108970748940 prunes
scanned 900000 witnesses, min_distance=2, 40437438224 insertions, 111474040112 prunes
scanned 920000 witnesses, min_distance=2, 41333854852 insertions, 113972172116 prunes
scanned 940000 witnesses, min_distance=2, 42448944440 insertions, 116460320080 prunes
scanned 960000 witnesses, min_distance=2, 43565591312 insertions, 118942732960 prunes
scanned 980000 witnesses, min_distance=2, 44685313192 insertions, 121426566488 prunes
scanned 1000000 witnesses, min_distance=2, 45767014416 insertions, 123926676752 prunes
scanned 1020000 witnesses, min_distance=2, 46844838760 insertions, 126413172840 prunes
scanned 1040000 witnesses, min_distance=2, 47920932124 insertions, 128895762188 prunes
scanned 1060000 witnesses, min_distance=2, 48998907256 insertions, 131390247576 prunes
scanned 1080000 witnesses, min_distance=2, 50078857352 insertions, 133891974504 prunes
scanned 1100000 witnesses, min_distance=2, 50678774908 insertions, 136183152476 prunes
scanned 1120000 witnesses, min_distance=2, 51222994192 insertions, 138480274224 prunes
scanned 1140000 witnesses, min_distance=2, 51748685596 insertions, 140768149116 prunes
scanned 1160000 witnesses, min_distance=2, 52264233908 insertions, 143049956532 prunes
scanned 1180000 witnesses, min_distance=2, 52831022080 insertions, 145336600768 prunes
scanned 1200000 witnesses, min_distance=2, 53375176688 insertions, 147622459216 prunes
scanned 1220000 witnesses, min_distance=2, 53927402548 insertions, 149926611476 prunes
scanned 1240000 witnesses, min_distance=2, 54435146408 insertions, 152211301768 prunes
scanned 1260000 witnesses, min_distance=2, 54962065092 insertions, 154494969700 prunes
scanned 1280000 witnesses, min_distance=2, 55565822912 insertions, 156774433344 prunes
scanned 1300000 witnesses, min_distance=2, 56181236212 insertions, 159054689108 prunes
scanned 1320000 witnesses, min_distance=2, 56722906728 insertions, 161349880776 prunes
scanned 1340000 witnesses, min_distance=2, 57236274732 insertions, 163636382924 prunes
scanned 1360000 witnesses, min_distance=2, 57769024192 insertions, 165922152224 prunes
scanned 1380000 witnesses, min_distance=2, 58396088096 insertions, 168200681056 prunes
scanned 1400000 witnesses, min_distance=2, 58993535084 insertions, 170487802284 prunes
scanned 1420000 witnesses, min_distance=2, 59573367476 insertions, 172783375636 prunes
scanned 1440000 witnesses, min_distance=2, 60098122504 insertions, 175078517800 prunes
scanned 1460000 witnesses, min_distance=2, 60598278112 insertions, 177375828448 prunes
scanned 1480000 witnesses, min_distance=2, 61158301156 insertions, 179674617956 prunes
scanned 1500000 witnesses, min_distance=2, 61686564144 insertions, 181969607600 prunes
scanned 1520000 witnesses, min_distance=2, 62196219856 insertions, 184260506416 prunes
scanned 1540000 witnesses, min_distance=2, 62714993964 insertions, 186542173580 prunes
scanned 1560000 witnesses, min_distance=2, 63233536508 insertions, 188823850812 prunes
scanned 1580000 witnesses, min_distance=2, 63753334576 insertions, 191105473456 prunes
scanned 1600000 witnesses, min_distance=2, 64273753736 insertions, 193387069096 prunes
scanned 1620000 witnesses, min_distance=2, 64793897080 insertions, 195668676728 prunes
scanned 1640000 witnesses, min_distance=2, 65359440676 insertions, 197953825572 prunes
scanned 1660000 witnesses, min_distance=2, 65875996664 insertions, 200242168760 prunes
scanned 1680000 witnesses, min_distance=2, 66485984540 insertions, 202524993468 prunes
scanned 1700000 witnesses, min_distance=2, 67114698832 insertions, 204812077008 prunes
scanned 1720000 witnesses, min_distance=2, 67733656432 insertions, 207085762064 prunes
scanned 1740000 witnesses, min_distance=2, 68249072356 insertions, 209373445892 prunes
scanned 1760000 witnesses, min_distance=2, 68766993072 insertions, 211669544848 prunes
scanned 1780000 witnesses, min_distance=2, 69283069188 insertions, 213949931172 prunes
scanned 1800000 witnesses, min_distance=2, 69928549836 insertions, 216242677004 prunes
scanned 1820000 witnesses, min_distance=2, 70539359272 insertions, 218514227160 prunes
scanned 1840000 witnesses, min_distance=2, 71136274868 insertions, 220808692036 prunes
scanned 1860000 witnesses, min_distance=2, 71735586696 insertions, 223080515576 prunes
scanned 1880000 witnesses, min_distance=2, 72348083780 insertions, 225386530244 prunes
scanned 1900000 witnesses, min_distance=2, 73291630996 insertions, 227885573148 prunes
scanned 1920000 witnesses, min_distance=2, 74130446792 insertions, 230384430176 prunes
scanned 1940000 witnesses, min_distance=2, 75014662656 insertions, 232885829184 prunes
scanned 1960000 witnesses, min_distance=2, 75706767156 insertions, 235260237828 prunes
scanned 1980000 witnesses, min_distance=2, 76620935552 insertions, 237762687936 prunes
scanned 2000000 witnesses, min_distance=2, 77488499324 insertions, 240271911580 prunes
scanned 2020000 witnesses, min_distance=2, 78311084480 insertions, 242748233488 prunes
scanned 2040000 witnesses, min_distance=2, 79025852996 insertions, 245109172708 prunes
scanned 2060000 witnesses, min_distance=2, 79845861692 insertions, 247549727100 prunes
scanned 2080000 witnesses, min_distance=2, 80660068316 insertions, 250008466044 prunes
scanned 2100000 witnesses, min_distance=2, 81428133260 insertions, 252471978924 prunes
scanned 2120000 witnesses, min_distance=2, 82213598440 insertions, 254915510968 prunes
scanned 2140000 witnesses, min_distance=2, 82986475536 insertions, 257356012944 prunes
scanned 2160000 witnesses, min_distance=2, 83753294156 insertions, 259798407564 prunes
scanned 2180000 witnesses, min_distance=2, 84708362808 insertions, 262298468240 prunes
scanned 2200000 witnesses, min_distance=2, 85586701436 insertions, 264807664732 prunes
scanned 2220000 witnesses, min_distance=2, 86455646128 insertions, 267310473504 prunes
scanned 2240000 witnesses, min_distance=2, 87322279044 insertions, 269808032212 prunes
scanned 2260000 witnesses, min_distance=2, 88178109872 insertions, 272280532480 prunes
scanned 2280000 witnesses, min_distance=2, 89029164060 insertions, 274715486668 prunes
scanned 2300000 witnesses, min_distance=2, 89831608760 insertions, 277174682792 prunes
scanned 2320000 witnesses, min_distance=2, 90605492888 insertions, 279624676664 prunes
scanned 2340000 witnesses, min_distance=2, 91384063772 insertions, 282081282364 prunes
scanned 2360000 witnesses, min_distance=2, 92162195540 insertions, 284519002116 prunes
scanned 2380000 witnesses, min_distance=2, 92913086016 insertions, 286956354656 prunes
scanned 2400000 witnesses, min_distance=2, 93863531668 insertions, 289446416692 prunes
scanned 2420000 witnesses, min_distance=2, 94735820376 insertions, 291946273224 prunes
scanned 2440000 witnesses, min_distance=2, 95604459996 insertions, 294464981548 prunes
scanned 2460000 witnesses, min_distance=2, 96477504944 insertions, 296958878400 prunes
scanned 2480000 witnesses, min_distance=2, 97332126800 insertions, 299452409376 prunes
scanned 2500000 witnesses, min_distance=2, 98355951330 insertions, 301945306738 prunes
scanned 2520000 witnesses, min_distance=2, 99382685590 insertions, 304430695798 prunes
scanned 2540000 witnesses, min_distance=2, 100308400308 insertions, 306943261620 prunes
scanned 2560000 witnesses, min_distance=2, 101359975166 insertions, 309431855462 prunes
scanned 2580000 witnesses, min_distance=2, 102442485024 insertions, 311918710152 prunes
scanned 2600000 witnesses, min_distance=2, 103510099116 insertions, 314413471428 prunes
scanned 2620000 witnesses, min_distance=2, 104529980710 insertions, 316905083030 prunes
scanned 2640000 witnesses, min_distance=2, 105556819712 insertions, 319390486896 prunes
scanned 2660000 witnesses, min_distance=2, 106577486204 insertions, 321875472732 prunes
scanned 2680000 witnesses, min_distance=2, 107600294226 insertions, 324369366538 prunes
scanned 2700000 witnesses, min_distance=2, 108628056310 insertions, 326872008630 prunes
scanned 2720000 witnesses, min_distance=2, 109650977768 insertions, 329374782424 prunes
scanned 2740000 witnesses, min_distance=2, 110672376718 insertions, 331871491894 prunes
scanned 2760000 witnesses, min_distance=2, 111569339136 insertions, 334374720096 prunes
scanned 2780000 witnesses, min_distance=2, 112452244736 insertions, 336875060672 prunes
scanned 2800000 witnesses, min_distance=2, 113352312936 insertions, 339373295272 prunes
scanned 2820000 witnesses, min_distance=2, 114461566642 insertions, 341864771778 prunes
scanned 2840000 witnesses, min_distance=2, 115571599818 insertions, 344348152714 prunes
scanned 2860000 witnesses, min_distance=2, 116678533008 insertions, 346831617568 prunes
