name	tmin	connection_set
paley19	5	1,4,5,6,7,9,11,16,17
c001	4	1,2,3,4,5,7,10,11,13
c002	4	1,2,3,4,5,8,10,12,13
c003	4	1,2,3,4,6,7,9,11,14
c004	4	1,2,3,4,6,7,10,11,14
c005	4	1,2,3,6,8,10,12,14,15
c006	3	1,2,3,4,5,6,8,9,12
c007	3	1,2,3,4,5,6,9,11,12
c008	3	1,2,3,4,5,7,8,9,13
c009	3	1,2,3,4,5,7,8,10,13
c010	3	1,2,3,4,5,8,9,12,13
c011	3	1,2,3,4,5,9,11,12,13
c012	3	1,2,3,4,6,7,8,9,14
c013	3	1,2,3,4,8,9,12,13,14
c014	3	1,2,3,4,8,10,12,13,14
c015	3	1,2,3,5,6,7,8,9,15
c016	3	1,2,3,5,8,9,12,13,15
c017	3	1,2,3,5,9,11,12,13,15
c018	3	1,2,3,6,7,8,10,14,15
c019	3	1,2,3,8,9,12,13,14,15
c020	3	1,2,3,8,10,12,13,14,15
c021	3	1,2,4,5,9,11,12,13,16
c022	3	1,2,5,9,11,12,13,15,16
c023	2	1,2,3,4,5,6,7,8,10
c024	2	1,2,3,4,5,6,7,9,11
c025	2	1,2,3,4,5,6,7,10,11
c026	2	1,2,3,4,5,6,8,10,12
c027	2	1,2,3,4,5,7,9,11,13
c028	2	1,2,3,4,9,11,12,13,14
c029	1	1,2,3,4,5,6,7,8,9
