name	tmin	connection_set
c000	3	1,2,3,4,6,7,10
c001	3	1,2,3,4,7,9,10
c002	3	1,2,3,5,6,7,11
c003	3	1,2,3,5,6,8,11
c004	3	1,2,3,6,8,10,11
c005	3	1,2,4,5,7,9,12
c006	3	1,2,4,7,9,10,12
c007	3	1,2,5,7,9,11,12
c008	3	1,3,4,5,6,7,13
c009	2	1,2,3,4,5,6,8
c010	2	1,2,3,4,5,7,9
c011	2	1,2,3,4,5,8,9
c012	2	1,2,3,5,7,9,11
c013	1	1,2,3,4,5,6,7
c014	1	1,2,5,6,7,11,12
c015	1	1,3,4,6,7,10,13
