# cubes [117000,117200) base=[0, 1, 2, 5, 6, 3]
# cube sha256(cnf) sha256(lrat) verdict solve_s check_s
117000 bb9cec368b029882e8578de4470e1d080342d001db98a17f2a26727f69310474 b6b815328e59adf1cf72a50d224d5148a1bdae56c1096675bda02c9762f749c0 VERIFIED 4.040 0.130
117001 737fae170cb53c3b7e4ccada57943e7bf2bbb3f3c5880d6e61ad808bcb81655b 22aebb801ccf160ad6ad0d4619d5f3c2058e81f92ee0076b3001a88b7b2ad032 VERIFIED 28.400 0.686
117002 1fb618c626a4fa8991208c58cb0a6296509722b119adec1cc6273b93785d0336 07872d02f71eb84e5296fc99511bfb34ec6c98567edee5f974000ff8c3d76325 VERIFIED 4.914 0.161
117003 dfca33e34b3b772d52776eb28e896259d74845a177db84cbee576b3b9a6b6900 9b049581de9321ddd02c8369cd7ec57175a2bfaa956852c2d7be6cb536bf6a85 VERIFIED 0.124 0.012
117004 f002d045e3ef88cd32852007ed8a930c4201639c5abac76cd36052931417739c a52fd49d540148507fcabd85bfd81eac056ceed2a4821d614298964b962caec9 VERIFIED 0.091 0.012
117005 3c8ea9dfeaf8f10dcfca50386b50d124c6b7ba8446477b586955c6798a945627 46185c4929764807dd1c7112931fd5d7c97ecb35387a69630de5a9665d82031f VERIFIED 0.223 0.014
117006 4e847b51fca467d3ab6d2c1300729f08ddf898e7d63f74f650f669792656a039 4a691e02ffcf6c37b9059ba299b8ed67c40c47ce60303a2866228c184aa9b902 VERIFIED 0.159 0.016
117007 46befd88a08fcaa1c1dc5d10882f1650cdf154d5373f43234cc4f218bd59345b c66a4eb44376e9552ad4909f10474d9d13b90c3b10692c9f284fc79793614af0 VERIFIED 0.055 0.008
117008 5e2071dbb7ca6aea2abd5f013d05fa94f2d3f0993135b488d7ef3e32e7b0e7e6 0a8005f9d49aa2160fb183caa0ca3d90029f827ccf793a23d4b658f9172dbdc2 VERIFIED 0.230 0.018
117009 1d231ac88cae581af2d53036030797fb5a708cb68026253d3f24636f0cb2ad7f 8dc6e953d7f7b28af2ead6c14201816b8c2cf0c53915abdf16265b6527ec0c34 VERIFIED 0.161 0.015
117010 f7235959962abb6f06d894aac1c84fb8084b74ea0c1d007a2f09c82f16f5e742 b29365066801afa0247c73bbe97f0e068b993e159f5a8ebddbb24086c78a61ef VERIFIED 1.157 0.049
117011 e2b203a3f4b6305d156b277648bed554c93a4a0eec8898545a45d592e1c8361b 50f64cf40eeab64385279868a0332ba82df21d14a1c670d6cade7fd32f06f4c3 VERIFIED 0.908 0.038
117012 e9fe70ba27265fa00bb7689e3ce9c10a13703c51cdafababea581647fbbc0112 4acff33819ae0e7b4db141b2f8ca11a4b2ba04896bebd2b9296ad284f49fe073 VERIFIED 0.885 0.035
117013 96609f24bc526c6482e67b847296aef3edc1d3fd35d77ad0e0045ce0c1bd29e8 a65790697aef3d006a8f0865f834a673cb8c147f8279b59a1a050b8f5dfc1806 VERIFIED 4.482 0.145
117014 44f145666eb2920ad7081f89d53bc7b570a725bd6534481d8359e742b2bfede7 0a0b7be1d4fd772be8a9bf1c82ee6e641cf58a1f92ce94265d9b4216ef359190 VERIFIED 4.195 0.130
117015 834e9236a77c4d2a3d122b20ca90c68d5b2f12cec4faa743be075fee691d2c05 f9c2c54c3d4654cd60fda9a11c464f00609cb32132333e8a436b0d3f2be50f7e VERIFIED 0.748 0.037
117016 6c573e21ad393ad504f4547f3aee435b1130d1ada46716f9bb38aa4bfdb8cc52 2140c43169836968ac3a0b0d263bcbc7a714e5f0f33ee2c5ed4e30e9170025cb VERIFIED 0.636 0.032
117017 15dc0d2f6480ef5aeb2a8b60b45a5588243b274ae27cc4349c78cb682d027966 33e04754f8f016cb45fb8d650e0dfd1ae331e1f70bde9e908665209f321db73c VERIFIED 0.124 0.010
117018 5e5a40eb9029a7662fb133f835a8645f3eeb81891fc3a0546bf02e44ffa650a9 686a803b495138e09d7daadbec5a9aee112aba88abdfe667d4e2cab04e874947 VERIFIED 1.460 0.057
117019 1d280c8ac6939a30d324867f0d349faf1aefa929c3f4f144c42f1ac46f8ad861 f8e21ee9b342a085c901f32bf575599dc3cc601f9aa8e5d7e83c109d7231e254 VERIFIED 2.830 0.107
117020 f154fa41e63e53be97d70d20957c611c4b4da5174e75e84bfa41105bde8b1481 310336a6ffeb0101eee07ffb5ccea6aabe7986ac01eac716920bd60d4d44e6b5 VERIFIED 18.633 0.508
117021 1f6d7103cf1999ab5caa7e799f15d306042074e86f3bde62a577c0944d2541d5 b55d5ecb5bb6c61d4bae4b71ba17470cef80306e08d9e9626365a58656dcc991 VERIFIED 0.129 0.010
117022 a2053ea067351679f1d7ef061406c64eb42cb69b1b676e94a681909fa07566f1 1941cf06d1b0c7dd1a5e79c19f24cb51f2925a715a291e54d2c229b9e90196ef VERIFIED 0.136 0.014
117023 9151d69435f5d78fbaca888e6bab1f5107760d5536bba4e18e3653b7b74091fd 51f042debef07b46443c35e0d30762913d0fa598324dd635e61cb797199f1b3c VERIFIED 0.757 0.037
117024 f2cd6445dd5164336493c8808b139b77f7a66b693907752496b7b8dba5cc11d1 1b19a91292d6765697f28835bb70ae39dbb55232957f464d97280405983bcb9f VERIFIED 0.339 0.023
117025 69cc48e06316f572be98764313f6c551e5320dc50a1cac9db1adb54923a26bd9 f807a7f560bb6882b7726a1d72b261bc226aa76b1c473ef774505108506fe6d4 VERIFIED 0.122 0.010
117026 2c7d53a4630e6c701432b7e8be746061e4dff28f62d89041b5ddf28a92b72048 9b25fb90c7e8a78e74152bbae539deb880cdd1737f183cf3e6e2ffd527500434 VERIFIED 0.194 0.017
117027 c67f5fd13aaa618ce6b90c3693422928b404787d7e56bcb4f6b993709a33afde d180e2d187a99507009f433a8540bcf82985684a1e9c5f58a2abdb01c0b18ede VERIFIED 0.638 0.033
117028 764b6dd647d824177d42aaf0465365d11c9006d7f80b612047bd9b213635dfc3 a3ecd930c526d0207ec8109e3d37152d0a98e13d3ff258129ba019cac56c0d54 VERIFIED 0.774 0.032
117029 7bf8c95b0c158293a1118235c4f6162a6d26da21f8c50be5edeb2aa857aa4409 b1e4d4894b10350153366fe773d2c2fb697679caf102a3812650aef17bed2ea9 VERIFIED 1.674 0.058
117030 5aa507f2d8d85e7008a481bedb5b01d0e638ffa65ab23c92d1d55d7a1a7d1764 8777c6f435517f78f0e1def4e70d50ca2f296ec3d6a6c2a3ccf9a086608231d6 VERIFIED 3.305 0.119
117031 bcc8d5d5b92bbb8987e49f06dd6a987b2e33c04466cedbd5bc398cc6f869b1f0 ffddb3e4627a53ce06fc25957ca2a7fb4b71f506d12dcfe825f253a4656f6886 VERIFIED 0.802 0.036
117032 b3913d68a13cac40578869192fabb530948885062971de31b842078ef9916112 49a1e1688ca325f837577f1aad0d52bae8e63cb613561fa59bbaebf367eb58f8 VERIFIED 2.052 0.078
117033 b12c009e82e719eee13d3a107c2c88e1dad22458b0ae3523a9d4a31c9950780c 4a8c2bd2a04db9fe15352fa17888f2cbbc396c7fb21bb8bcf356bd5b57563788 VERIFIED 7.188 0.228
117034 e44783f0f7e46f591cc2d336f0e40b67e851099ef87285cb009117a59058a23c 3df312b92fed9fab9941a704c656e504509aefc84c97ef96444eb2467ab79e4c VERIFIED 0.985 0.043
117035 740914286d2cb425769639205df436f880da9916cea1f3e85bb93cb7ad0bed75 03b0b9639d8d5b4ff92fb149b2d3e493d62fbac268b30d6d77d3ad662e557145 VERIFIED 0.954 0.042
117036 458da22734c4982cf1ec183cd5844428f387ddd49caa676aa50d3241948002a5 ea47cf71f14986d18e076ec549a367154c455422cf6ed0e110ec197d7dbf8083 VERIFIED 0.740 0.034
117037 aee30da280285e98778b8a22ea3665c5447e620c20f4ac9f745ed43073575bdc 460c5d168d07b1a7d3f9451fcac4b2c1946fae58e07266808d3d29cee70c6beb VERIFIED 1.882 0.073
117038 bacf02080ee190377106a1b5dda969f6fcb250378522f8c5f076a299d2bb34c6 cc9636d34d46ff4aa125ce9591eb987c25afaa13435076bf9b42664d13323c8d VERIFIED 0.326 0.023
117039 d3049bffc29a5b0e809efd20e0713c5e14ca129d9cd48982515880f7280ea284 21c3d90e4f914d94d1a6e2169050d3274838d7110d5c9990b01f375e2effe90d VERIFIED 0.795 0.038
