# cubes [36800,37000) base=[0, 1, 2, 5, 6, 3]
# cube sha256(cnf) sha256(lrat) verdict solve_s check_s
36800 8a457d73ab16db5c90a3094054b3763ee74712018ff2e03f7d31d28aac50e51a 7814d929489c4c98edb4040147822caaedf6117460391abb5b942e6beb5d9d01 VERIFIED 0.392 0.031
36801 b41fb4dc5fade546a38ac65dd9e8bcd57a0371db8e6995c903b0ddea121136fe 7d3e349eb52d22bb906a6360a769d21e29d182b077ba0b4d4d7bc629a838e67f VERIFIED 0.097 0.011
36802 b7cc21693bb23ba8f63e4776bfa03bf98c501097459091ed3dd5d92b969fa336 f8373b71cc17c306081d62510f568c445f1c2e685583af52296b7553881d70c2 VERIFIED 0.337 0.017
36803 759d305d8ec383ed963c2dbfc700e1013e41cc21af3181cc950629fef9c59ac9 72035205e5f0ef19654e47727a03ad4d66b34a4062ea5ebe65ba7f3dcb0fc022 VERIFIED 0.714 0.033
36804 7a4ccbe482b9d3d2b100d0b9731ac8177b3e30b4385f9170d6924e15f0e4cc40 bb3369dbb32d7b59feaf54fa65f74854040f7e74f1e20bad3a5657dfba0af0f9 VERIFIED 0.266 0.019
36805 e79a93ef60f93dcab5693a573c7f412a47958a1466eaa301ba5f37cbbf8f9bbf 2dfbdc13a2c887409462d375787455af25fbfb13db9b5e34b4b72d9737136964 VERIFIED 1.005 0.045
36806 6aa403d96804daccb0f48ce0baef05927a7648eb1803984bf8b89de27cad552a ade24ec7da879fa1a42cb79e82bc6cacc8d2fabb51d03fb25fff5612312ac1fc VERIFIED 1.585 0.067
36807 4c52019cd331df4c622e249715eb7ffbc9568d570efe33fbdca72cc2bdc22ea7 db92861e600dc3278fcf5fe7a50226e0de79e9879cf4831571699620dcea3103 VERIFIED 0.316 0.022
36808 d6b3674a564c60a9868c537d758e5e37ac78a605e6960b618fd884e435b2c98a 64cc131b5b91a47dd096674a9f34e6a4b88ce43f2317ce236fa37b91fe22b25c VERIFIED 0.475 0.030
36809 23294a56a61aec29775e0cd97d43ac924aed985d9465f1ba780e3c23315e5bb9 24ed9ccc10df8c907d1d3dd65d321e0d07cf7d2f7cc49acd7c32d2ab1fff515f VERIFIED 0.109 0.011
36810 3595b235432cfbe0d1d369688a726ebec19c3850eef84cd1b203e7767b00e347 2c3ec5929f3a458ac76654568c4bb549ed61aeba5238f0c8a78bba5b6f5ea62e VERIFIED 0.666 0.033
36811 7b5174360cbfadc64e218317285f8d6136714a21a910510a9ce2ed38d124af92 5b44bc0ff8b60e3ee4a0468d1acb88cb51b4fbbf3f64f1f857cf12526bc3fa72 VERIFIED 1.228 0.052
36812 8074bcfee5905e78a54bbdda510a2923f31e93e42c6a68d843a22f2b4f30e799 ab2bb9a3bbed951497e656ecae27bb4fee62893ebb0d96fec51da6f634e37050 VERIFIED 0.867 0.044
36813 24d9da009f3800a63650d316d124daa5f2cf0208f5f41b106a1144be56acc165 758623e64540439430f3c2cf05eb0bc20d1c418240af4082717a9166103c7d03 VERIFIED 1.459 0.061
36814 a3a5b3cc6f901abfdbba8178e642ed229f89ca930f39677247d178bfd887dd18 da7fe43c34f34332c2d75e06358af0dcdac9cf14a17cfe6945e2252b2acd9c11 VERIFIED 0.898 0.045
36815 1dd6ba15f2889b62b3b5e6e47245c5330d266c5f5a6082dfd8c3fa3a098fc6f6 c6d13ca8a96683fea951aaad2d9e089d04c2cfcc07d8e6f10439c5162226e814 VERIFIED 0.724 0.039
36816 5c054bf83ebc7e1f2735c5df61ab74b7a8f9c5082d3403cc4799f043ee72db4a f14b3fc8ab876ae7dd2ededb6a22493230deffb14580a6dd80dff8941d8e22a2 VERIFIED 4.282 0.143
36817 476e23fe5f6346da0f690da0dd9741c83489293142739ce732b477f3e766adb3 4cf04b4c31048dab52e1740a985393ce981a8dff5da697d1ab015cccb99b12fa VERIFIED 6.680 0.211
36818 c8a9b9fd2727d05600306fffbb0014d7e6d1a6cd760ffd596db1a0d54b940efe 8b4477f8aea7b9a3c807a1d2e339385ac902280535c2cb24ea4d97219f6c9678 VERIFIED 0.929 0.036
36819 733c370982e703a2714b83a494835149838acb738814bbf08eddccae8d810dc6 1efc87ca890ae2edd17aaf6bce7bb2d1ce3777d392d3565415817eff5d3c1be9 VERIFIED 5.465 0.170
36820 793f8ad0a8464bd21a503e1d70893155f60e5fd88093da9ac253793aa17945d2 0bb2ed6d691725a1b3df57e6b26e286e12b0d2bf323502416d73ac203cf197c9 VERIFIED 0.494 0.028
36821 c6e8842c260ef9fc986e54e9b170ae277872cf29d012dfcc8effcf5f38d12f75 011e728af1091eadfd097cbdddf752232210fe3c91988342040a7e75edd4b3bc VERIFIED 0.836 0.039
36822 fb0b32a70d54e0297f196943c75ef9c0289ba182376cf5a93fc0a987d30b33ca f915365c7ed1609f163317b3cd89884a02a65e976e5ea73bc0e8d5058e6cd0df VERIFIED 0.019 0.008
36823 e8db28250ba0014dc9a615020768a0fd17b2d0e2caa4bd05eda25b188914a25f 095e46604f4ca8d81d6d50f171515bacfbd0fd4f5398d0165b8a1f70cc393f95 VERIFIED 0.230 0.021
