# cubes [10400,10600) base=[0, 1, 2, 5, 6, 3]
# cube sha256(cnf) sha256(lrat) verdict solve_s check_s
10400 e20fed0704255bcffacc25d27ebff829ddd8e8ec6c74709da73855545f72c74a fff07f31b95a369ee989e4922dcada90f0472092495c021850c6ead6e091aa82 VERIFIED 4.716 0.155
10401 20f45c3ea5085e9b23de7e435f277eaf8b50bd89d62e6937b68e48d7174c8fc1 1901fdb2203b2061587256c4d07ddcde75f030226100ce24ce7fc52aee36332f VERIFIED 3.720 0.116
10402 834e16ad4d034f53549b53a1868486d018abc650c49bb027fe87f96a5dac77fc 70ce1712a2731d924f3f5d86ca37a290259f4f56103b57b025f4f9fc6b78e2a8 VERIFIED 13.559 0.379
10403 607037ca2df892490c2fb8eca609d62307a959e4dbb67549e8d681bc5c6dd888 5df3a88259eef950f13a8a1a2c1b7f8b8ddc2743f0f78eb91cef8741b40e9f8d VERIFIED 0.315 0.023
10404 3c4bacdb298afd5717471659e29e5104ab50462427a3303d82cecda93deeb803 0c58267629f0fb7a436d551e73b3ec680b3529642f86a422be0119a9d047c218 VERIFIED 0.833 0.042
10405 2870323d697533a01d2d2ffd90c687237bb067934452e7ce30e9f5fa28466157 aff722c72cf0cce66199c48a57bc5158b9ae18bfde662c8b9ee0ae12e4ad6f01 VERIFIED 0.014 0.008
10406 0d91a0134122ac331d90e3b6a07b94ddcbf857c1949718b399b4dd7a9d520a4a e50d7b6f0919da8e750f8308ceaa3633fad3137243c29b2657b07ba019f510b8 VERIFIED 0.093 0.013
10407 26a06e63b91fe2615b8f7877a5d30ab31a8aebda2b21e0aadb62ccf7750eec6b cb97eaeca97f84421b9836b3b0badd6d2f08f189ff7baa3734cd18a58e227971 VERIFIED 1.832 0.077
10408 eaca2e4bf55c44794d32b9b3654d83ddddfc4313b11705a910952dcf20411691 1d7aa74fbeee403f078d78d9edf3d23e7a7e02bbf2b60e346429ca2f8e7b7c43 VERIFIED 0.507 0.024
10409 1bdc6d7b301b300e989f1e312d99577c2bd33a361fcfc6ca5b5bc4ed9d88ab6f 24977c38d52fd89c9c90028d8c0665d68d11dfb338f88f20501daabe49e76b66 VERIFIED 1.332 0.059
10410 2373b0a41ff226c09775b05618bf8545f3542db4c800cc90ed8780bf68a51d8a a70cf8af930a818dae0e0c7bc15cdee0b811fc0b8f3ebad9c8d767a67bcbf580 VERIFIED 0.016 0.011
10411 8f1e59ac77ced3e0e32a7c885af73a512466cf1364d22330798da6fd10eb7201 59a919e38a6bd527abcdf7809af9f651baef5984e448833ac2a2a07f7316709e VERIFIED 0.155 0.011
10412 54c070e79106fceee8f4f9d36b960d5958c64580713c9bb85537482b07096d24 b973be52120d8b298490898196f682536e1d767fcee5325061c6d5c20ad1a732 VERIFIED 6.867 0.216
10413 925dcc70979b3d1c4970dc76bdbc5ef03453dae1dd785e59208891ae94050861 6ced87c5fbdd83cb11c8c79346f5131f49cf4ccf4eaf7a45082e1052c7bfa14c VERIFIED 1.428 0.058
10414 f2539898fdc76e08f1c9fbc47f022b17a3f37fc8735fd3f816cee58b3630d815 8ca48168f3d45d8bacde742637e253fce029b9d75890f20de8d50d079446370c VERIFIED 6.721 0.205
10415 f8767e09f10eb6155b7885462b33cf579d932d7cf28fb9b1c7b8fc0e82af772e f2e104cad67c6eab9577f208b9918c10e12f69115eb5f03ca012732dee2b1035 VERIFIED 4.281 0.129
10416 e6b8a6f8568de05a5a5426dd3f25d0385c228ea09182b99c9b954203039ee859 21105bc92086ed7b441ec2e158c27de594dd8c293ea5f267aa66a01ae368ff50 VERIFIED 0.314 0.018
10417 226d400d08eeb3696636654be1efc0a12eac4ac68db6396060f4af5dd91d5d28 6bfa204aca71ccc64728b3418cd50127850907f018e961d63f6d5444bb96cf74 VERIFIED 0.454 0.021
10418 f2685a8f29ec4314a1d537842b8b3e913b82296359a41b584341183f08fc0808 e853196504c467ebe76fb549a7e9b7f3454bd4e54b3cde0c7b3a0386742b10bf VERIFIED 1.412 0.058
10419 c0bce553cbb6f5afc394d83f5d7bbacfeac0f4cfe7fde0071dc9c8e0b9fc5ae8 718f8e82e8bf6e1bac07c695f40ff7cf506498a723380552ffbf1e809261881d VERIFIED 2.575 0.098
10420 2335b8909dfcc44d036657765bbe37782c75f9553c4c424b5a85d2ca98658e6b b490c366f04e85c75ca983eb9276d6a284b86727963d2eb06543241408774fd7 VERIFIED 0.125 0.013
