# cubes [157600,157800) base=[0, 1, 2, 5, 6, 3]
# cube sha256(cnf) sha256(lrat) verdict solve_s check_s
157600 c2372e78a02698b9695d418c94d8d195a68279eca35fa93310bc1d6b07e97a02 851c6852bb212e7215f3fbb147ed83511af2e59c50e36384695b609193c7e2ab VERIFIED 0.893 0.038
157601 fa65ea152a7178163b7f34cd07cbd5ff1ced969fe591f018984795e7ce4c9221 e7c958bdc318bc7241286b8f59e866a7b1a6192b7c8c123f9a0462ea714a50e3 VERIFIED 0.804 0.037
157602 350895ef8405ae8473cdb5d551f97698db11f6a5b1ec4577ab29d564a0cf92d5 6740ff96c78a71c23377a92a135051525f6efb9212095f839f733bfc6227a4ce VERIFIED 1.338 0.060
157603 9c39a4ee860cb3ffc17392c0acddba4552ccdf2dc15567d02cb1f93046188656 8c8cdba493384f4cdad08482a9b8501c64bd06b5c982b8748c816fbad61328a6 VERIFIED 7.299 0.228
157604 5086a0831eeb435357b224aa709544da17ffee8e7b46380d450f908407177269 5ec029c55d0800d416073edf3669932f74e6ed4d23a449a6bce047ea95c2847f VERIFIED 1.284 0.056
157605 7db8765a284f1a4cba48e4bc8da2f07685ccc4c931c7510a7b989a506d34778e 30048d0ebd919f5a878c078ab6f7b500057e7bc8d533e1679243018c8a1dd78d VERIFIED 1.486 0.061
157606 d9db504098ef6c57f002cb27cd08a83185cdd28827d0929588ca60aaae91c0a7 8c81b596de7207e02c916fd42de7fc80d7dc5f10e1a375c8d94ca8d32569a8e6 VERIFIED 2.149 0.083
157607 da75fc37987d00f74e20c14c1ce44e4c9ef8032398b3fd8cfe2d4d17a57e5209 7540495c103559a78ac83d4cb5db49d11778337117a8d302298807b9707e8688 VERIFIED 2.795 0.109
157608 4c2a598fd4674355bb64e16805e0f0192a939ae8aac8f769bab4cbe53423376b 659d387dff2e5d1716a2fd1852656cbc047d7b17397feb752dd8ab2b3bb18257 VERIFIED 6.208 0.203
157609 f876ae0e7dcb46f96b18b9c308cc801a219a4b5176346472e2b773c7a8e69fc6 e52fc3b36a178ded4062d304942eca950d968b4c4cd2c1dcf20403810e4653bf VERIFIED 6.419 0.210
