# cubes [56200,56400) base=[0, 1, 2, 5, 6, 3]
# cube sha256(cnf) sha256(lrat) verdict solve_s check_s
56200 2ca7ab1b52970e6122ab85e58471d4ee26c060b2b76241f5eba012e8d79e0e1f 5687d014515b8291eb8cb86f38978f928ea19ab3b9b507d51a05148b238d2241 VERIFIED 0.717 0.033
56201 ab133aa274268b8acd2dba4388a677ef4851b56addd3a2904555dbba8a2afa4d 828cc9fb44f74ab57df8ad012097aefd664eb7aaee22081fff9cb1decd852dd3 VERIFIED 0.298 0.020
56202 9d68039a90619fd94153397ed1fdaad9e372a67ee2181cf5d2a5f5b94dfb26dd 8173c902af89f176e0c534569977e1be3c690e6f1788c3197746927b529e67c2 VERIFIED 0.688 0.032
56203 14a2de06b514e71ac26193cb7998b6af51de2d2d71f785245f1ee473eba02b15 2bdf180b01d28ad48e46f08c0432410d2c862750f403bb9c240bc39948b44752 VERIFIED 0.116 0.017
56204 530386c8375bad87e34fd314892f4456e32bc826c23d74c582e9bcc3f80d4e2e 0e0e77def6039e33806f89f207613db85bd77afe227804f7649ce70eb2ad0f66 VERIFIED 0.918 0.040
56205 ed40612c90d9ba19256030fb6c52de2b5f06c7e7d70e4e8b85717dd6c468620b 2cc6ecc7ddf0b4ec09913540c0e249fe2882ea9a9deee96ce1c9b9c3f16e70d9 VERIFIED 2.966 0.104
56206 fd564098c83d4e2d68c9739de67e3cad6cb7406e2f944ff07776367652370b3c 3a244be8d0dc422d8dd74dffaf317193c21d34f5753d58d9cddf53e613a17fe5 VERIFIED 0.979 0.046
56207 5236220922687f8add70da80d172ba043d9d2bf035998a711389122272f89f4d 8542fe37415c6a515ac9f96c84057e1ac67363f3195e9a0b48e83cfdba4c97a4 VERIFIED 2.734 0.093
56208 a6c19153b662ce4339d468718c4c8aea7cdacdf4dd05ba3e5387a0ca50be031b 6604c8b4c63c72489b9a99770d6fed792dd5953743df1a3e70a32d6fb551c790 VERIFIED 0.958 0.042
56209 081cac08f65a67c93be3d0e2671ac9ba2a030aa1f2b2fd680671c43ecc7847fd 554153f9ac9d038b4efa748301a4d426fe6635a502ff464c85ca4ed161f405b9 VERIFIED 6.043 0.180
56210 999d517a4b5128ae570ce37a0af5b74a8828ad33bae33282c210b34ba7f77d70 03e31e6dd2fdb26e191cd314e328e6885497a68ece86d0b8250205f21133e14f VERIFIED 2.573 0.095
56211 4031bd65a47e9f4b0d908052a17dbc5815d9003b1f991a5a5f540313772fbd16 e6b176a07d6ad6d2f15b3635272cf0cda60f5a452b40c001737f76f8beb32ad0 VERIFIED 4.601 0.144
56212 42cbe718d04077fbd33dbe60123ac596791f970b93db8cca9d4ec30e4ab8d3ff 4e657e7216004d9ef3294995f364b88096696523d6ccc1f70889e71d7865ad63 VERIFIED 3.751 0.113
56213 ab0dde35aedd7830d218b3a3a7d3c94a689c8a32fc59ec805dbd885bf3b84ffa fd28c7b30d2fc9f0efd4a12cc28f7745cd2687042ca476f54ae7754d56dc30a0 VERIFIED 6.399 0.194
56214 27c2bfdea89d303f6b46a48a17324d977bc7c9e75bea9ac70e2f3f914ddbdd8d 3b85b59f461d6df704f9be7ba32e5b9903be84e24307dca86213251d8d9452fe VERIFIED 0.381 0.025
56215 9612354214508fe5971171b54b2b8e0188405db89b4a85435d95a49978157f63 b67aeaa744dd15a2b5cfecda36f065aab64c746ccc3af9a1b876371425069d51 VERIFIED 0.097 0.015
56216 15525218e4c71982e90b93aeb88b6b0ecf119b2cc2d4af4adba66bcc068bc69e 58355d86f127d7c32ece655a37dc9d2027941a08d813343a32209476dec955b8 VERIFIED 0.540 0.029
56217 6fcadca90f97d6ff9f6af06d474cf3b15cf805e0eb68d91653c6de99199779fb 6750eb76ba9a864140e4981c2590ef5e0ce738abf843a5288291fac37fcc3203 VERIFIED 0.790 0.033
56218 4cbf27469938e724b6ba1687813a199850e1264beeb357024c710892ad0f7d4c db82befd82952b98465cc4673ae498cd351500e5397014def8e38e008561f498 VERIFIED 0.528 0.029
56219 3cc61cc8671cc41b556f91221882327cb59def80f5e52254dbf1e929762ddb5c a7140ba43449db88d356b406e979c8e4eb4799e01f4264db114f3058d780b801 VERIFIED 1.833 0.072
56220 637bf27fdb9d3cfcca7b7664c8776871e6b404cbd037ae930bf8ab83f0f182bb 882c9330fd7b800701069786ed2c801919abdfbd98da7955c0cf60b18e20e98d VERIFIED 4.263 0.124
56221 dff42cf021c2847968123d260be13e4210bebd56e969762234ef1a9055ce07be c53805ea47c17190e2e8dd8f1805df3554d5fde64fe627a34d4951477e68cd85 VERIFIED 8.206 0.266
56222 8a4862a2d67641d3dbbea11ecfb131595d0e71a43e28d47d2c103843707083f7 cce434b4769438b7ab33fd609f5b617dbf6b7338512c84e540a5b460ea8740aa VERIFIED 1.258 0.052
56223 5282a22ba097c6a1f7e59e0d582d681602a727bd95d770dbff0c1b7272a93288 bd09d0486246125db16d45d9de20f59d677c559f670b6306af75a97d93d58dc9 VERIFIED 0.973 0.044
56224 1d53cbb87e851df4373aadf06b2d8b6658a24298adcd330849e7522aa76c0521 b5918c22ca11bbb670767b851910c06416e635174145a0a58941a36403d119cd VERIFIED 8.403 0.265
56225 72796947b482cc788415ca70cbef5e5a90eb26f9a9786f236508d5ac883f3686 34fff7710cff7974112e4af566d736a1e076d0869683bfe32746d51bc1d8803d VERIFIED 2.014 0.076
56226 276e302297ebe40ebbaffe48aeaf44ff6dadcb05ad616494dc82c022ec6f380d 47fecf38ee212565fd76ef28cec1199f08576af4c94aca24a779cf333c834740 VERIFIED 0.907 0.043
56227 dc93e83a988b35503e6f45291dd5af9826e02ded39df5287e098ebf6209e2bd7 23fbe0e8ea47d6c04a4f005c818cc515d90f8c629e6c5f5933f39648c95de00a VERIFIED 6.048 0.190
56228 0d1fa15e3d951c9bf5cfde7cc1170d11dffae8f0f19190e3c7c3027a54c5dfc1 502a6b189115f59f5577e19cc4ceb149a6dd1b7feafa130a14d3057cf7b88eb8 VERIFIED 4.062 0.129
56229 b396cb8a1a456f5ee87d7d03db6cec57f529318834b8379bba64dc2940f5d7ef c953e3ff8d973a9cdfb06ff18a8b4816a93b471cba5aee5ad17582df3bd156e8 VERIFIED 0.645 0.027
56230 b3199f30fe2fa3a7ca3be92bb12514ae2233d3e85c3c98072f272b11d50f11bd 1c1b495bdb4e102d66c429898e0c7723f94faaef7034114ac953be7c6569deab VERIFIED 0.127 0.018
56231 dcc69c0fd1b35f20e0dbefcc6f639c064c32c7d967c3d3ceb4aecdfa7857c258 9966085a9459914acb033e7368942b3ff5a836426a4b80d4cb3c9e0229c8e3e5 VERIFIED 0.837 0.037
56232 a50488c8dd3c77d5ef25596375fc7f176bd8839b04c246319b71a06aa378f755 f6b595de56df94503d27ff34b1c59bf553974a18d1af49750e0d61bb1311a003 VERIFIED 0.024 0.007
56233 be067b186e79df7d0315c1f608edaf7db8fc3e1e5347a9e027b03504e034a278 c97bdd965835fdb57099f62b5e206b94efa591fdb9e7906db1b716dfc840801e VERIFIED 0.221 0.019
56234 6c464d1bc7c6c93a0451d477a8e18b308f80aae162cebde92760a4244a58d8e8 fe9ece0e6b38305e3a277de94784db1e7e21475f948a3dcc1ab577beefb379da VERIFIED 1.001 0.044
56235 9dfccdaad3619e54bcc37689156b27ecf45af19005846266dc937b57e3a4cbf1 de772dd6361c0c7157d34843b12e6fa53b38c80628634f7860fb07ec4cc93a02 VERIFIED 0.018 0.007
56236 b44a706f7f87cd356a86da3ee4e4f3416956f92c3268bd0d48db6484c89a356e 28e032ae5b830c6d4a7c0bca352b77c2e979041f99c21d4a67987508d94e82f5 VERIFIED 1.347 0.056
56237 0f294fe80977937f9abf6b86ce5ce7c7823bb309086ae0973dd836d4d0641a5b 1ef731964faf63c96f8bcaaaf6aa5c9a43cbb25d4056f74d63fa454a11df0eb4 VERIFIED 2.860 0.099
56238 e7fb3d0cf4c4d2dd9d734cffe2c49c574772ac7326d51a270aafe2f6148285b7 26769ae55887be8165f1e17083d4b6259ec03bb75d9e8291390818aca2969b53 VERIFIED 5.131 0.152
56239 64340364b12b8584b6e6b4292bfd3158ea1545e299ce98723e89f3f11e6100bf 745525cacb6eb913885faded55eb5e9d2fa33d6abe63a0cc556b1b159a148eb8 VERIFIED 0.476 0.024
56240 df17591c7448c695fc14a1007c7bee95a1598535f7fc46fcbfa3d2cc16a48b9e ab43e9ddbd9a37629f6513621afcb0942aa8162e9c73791d576ef4301bdbdc15 VERIFIED 0.110 0.013
56241 ab43f40a28f581427803dd318f768190719d0c2bcdfa68419ff52c36f7c24dd1 39de15a2989d15bcbd77cb58f4fd9aec8204d47d0f84e3db25957fd99493f53b VERIFIED 1.182 0.055
56242 248ca5569c4197eed58cb4816242b349ceb8f6e0341486faedab1962d19b005c 1f2d2f99b8475d5ef8b47addf90f3bca176e6fc3f81c9fbe93e2cd19ba5b4c7c VERIFIED 0.883 0.034
56243 01ac4a815732772f405361a4a2f1eaebcde6f319ad4600bdeb19e0ab407eed0b dcd1ccb8dc3b49d39720ee46124a03ef5c04d1e1880feeecbabe2ed81d681d8f VERIFIED 0.886 0.036
56244 9821fb9f59569188f760fa85469f6c27dd49346ca21b252a86ede3b72843dfb3 114d210196d7d24d1c002a1549ec6dcc5fdf13e85b33894d2adb78a3c53f928d VERIFIED 4.881 0.148
56245 5224877e5e3f267f63c24233353f5dda2d6fd595cdbae71e7391e792ed0fa94b f3d424ce06ea6fcbe338cafa4363f1300555d07c0c8db38cc8b93d27b5440dc9 VERIFIED 0.688 0.034
56246 1122fe096e9478bb36cf43c2a2e287309c502283b76bb7e9718ae7e43148c259 fd3c569aaac66b9fc744f40df36d84f3d0bfaaf7303a8200423c37b6065c50cb VERIFIED 0.679 0.026
56247 929856146e40299dd591683bca4a242854d0d9b546234ded063234c6eb59e14d 90d44260efcb4348527bb4d34717e05822c8023958533317ce3d4120e6dbf5d9 VERIFIED 0.162 0.014
56248 78ff8dbe1feabccd1a8e6cb24d681303dc6776a82336dc89731f0197bd43c67f b9bfebc7c760fedfd0649ddb071062b0c516866cf55ba6d5bf0d887923bf895e VERIFIED 0.456 0.026
