# cubes [330000,330200) base=[0, 1, 2, 5, 6, 3]
# cube sha256(cnf) sha256(lrat) verdict solve_s check_s
330000 77b19fbc9965fd2b55d1d626af7f6259014b38b0ab595ae680cdcd0b87cf20a7 96e08e97d93708231eb7dca1744da42835c16b4fd6f5e634de62382243f0660c VERIFIED 0.337 0.018
330001 eebc22ad4b2d389543674b65506d215857bbf0c9d9e0b246b9f7e098d886f1bd 3d2faa5f95210b867a327eec335b65e7973ff41e1288c5dcee7f5b8c3d40216a VERIFIED 0.016 0.005
330002 0f022bcc0a9ebff4e38e5cc6667f651f4a1e2db4d34ee8124872de800044cd8e a3314bb930c79f405f4d930001ff0a614b26797ab4c8017baa9b1773f97d8e70 VERIFIED 0.351 0.024
330003 7dffa226a42e222f953d8f7ecb82c113a66668df3a22a5017ebdc2f8937b41ef 15022274f79ba2e4f56a134a6094badd10892094a88f54c4d0db41217208d24f VERIFIED 0.260 0.020
330004 46b98c76f6d268c864e433e3ffb2033ebac3d71313e094eaaddd90ad9a83c00c 85f450ee09c7167aac1036c459d7b77924dc22c2d6df5ac310ace757095c1669 VERIFIED 1.130 0.048
330005 8412952597a4dba63dfe4755a121ba1e7037908df7f603db802739c5bc8d3d72 f9e4ad0e6e034f75da226b21f99d5c61d693ceed845c33a7cfe2745aa749fc2c VERIFIED 0.539 0.028
330006 42c6bb26be7c6fdeefbefe5273fafb95ddc4065aaf1f248476675b9ae1994a4b 265490fd333c5e370cdf2aeb6f46a1d9185e775127539a0ed3bbc3250b7aac94 VERIFIED 1.597 0.066
330007 ec00f32c8cc5571531e7cf2bdcc8e60f3e7d9b8bb500a86fe346f2d2f4331e0d a3b76e6514413e0d079af0672bc62a7c1e1519e9d85ab463008fada9ab98197f VERIFIED 1.076 0.049
330008 13764cd18ad7a576704048a3868f57d4bcaa9537e3c5128b15b5d90c3fcbd8cc f08ca8d7739d4f760e0b7c37609ece5542623dac3e72ad48621d6e7d0b139695 VERIFIED 3.982 0.122
330009 d07c0c033c5c429f6de76f7e6fd2f85c8046c74b1b54b636cb17b8090f978c87 ef35df9d10fcfb4ab76d9ce9dab68ccb8436d2f2d2a3e837ceeb40bb5ac34fc0 VERIFIED 2.959 0.100
330010 8505bd215194a3d0406fd7563df77eb2deff255972c6fb14cde13fa2498f137f 6d36fb6823aea8538d3137867a57597f1d08a05b92d9ea35ffdb2613ee55695e VERIFIED 1.092 0.044
330011 46662842ebb58c8e3cc18ab8ad5460d7e02f62859c12fba8611d8ceed14bcf82 7b06f65bf53c2c0b31d591a93e87dcdfb2a8c4cd0df7633de93155f52844b77f VERIFIED 2.382 0.089
330012 b91f4561e5061613eaddc2ff9a47c19cdefc7bac38b43a104fad00e24ab53f83 d70ee9893a954906ab14d3fd743cb004e47f9f73b6997a010720782d2df39b94 VERIFIED 0.690 0.034
330013 f417f50d577d616e365153c8c44630f818cdcebce067bc2c0747b902eff97a13 d46ade323a8dc0eed8372f8af692c950409e4ca66ff2cb763f3e49eaf80619bb VERIFIED 0.222 0.019
330014 198c42c39f5594fc0961412c0a0d35372bd8fe94b269d2937d1ee2bbbc2066cb ea09513de99f940662f4db349908aad800cfc3a8e26e5741e08a2cb760a927dc VERIFIED 1.022 0.046
330015 d2085aa6ec332ae64812acb509197e8b0356f0f4f1ba103fa484c3099d2dfa44 9b6f5b4259341861e51e1396191ddbe709e89b37657d96e24358836a71272c2e VERIFIED 0.697 0.036
330016 81157ba26e7d2683134cf865258bcfb1036d132e6e13aa2670b47c04bccd0eaf 47ebdb47f6d11197e77df42b2040d2f78779594af341b8c6f721d314dcd8f0e2 VERIFIED 3.596 0.112
330017 d4097cca79d9b4de2bdf4bcf6ac60cb681eef7822c3d8b17104f056b3b38d4fd cb16cedc83a0f0989e7fc35e6220302d41e0727ba9f31cf23d9b40267f309b6f VERIFIED 0.121 0.014
330018 6d4dcabcfa3d8f9e6d7cb7e37a5cc8a0c5c57beb59226d981f3a2155f250c112 4af8ba68e14f9a482659842b9b7eea4db1d5c82f112543e7f0c72db9228ea270 VERIFIED 0.171 0.012
330019 954731ed234ef2ffa26a7d24fb29d895f6172df87e523ba064fe3cc29760fdce a2a28dc622688449df5543d2de89503b59fa45dccf060b7196ef88fb298615ff VERIFIED 0.766 0.036
330020 82ad25787ca224c75486b80c8b32b6e7191260086e380dca28571fec2c8b17c9 2a9d8467fbd07b16aec49d3823ab1e6c82caec56ace6ceddf10499b88b4e406d VERIFIED 0.123 0.015
330021 09d3745ed8acb3e92b15f5e81d01997023b005b1e17512f3071fd8094862606a 98adfd66b5731e0f025efb6d570f990228cbe1ae1c0e4d9f8b0fafe1703acf4c VERIFIED 0.192 0.017
330022 4d65ec4bbdc3da302f9e9c2b705ac247c78c0d9edcc7cd2f56155c708121466c 10d97a6b8348112e090ff0a6ec7ed5576313793667fe25552eb2b6563d981e48 VERIFIED 0.736 0.033
330023 d71ff5caaf9bb1974e29786b1e681f6f1b2d907a7f0ba96f2b1fc26ca2831606 b98ccd8714d2621f43999330aec9093302cb707e8dd7d9f05ad02bfc4e0c1bb2 VERIFIED 1.428 0.059
330024 859fa419162a29984a595de4b32b61ddc948debbe84d64bcf15021ddfa018193 5c98cefcddfc54f54b92b38fa987003770fdf298117be64ccbad746ff0b44041 VERIFIED 0.321 0.022
330025 965383a047d3fad8829065b150e77b614054eefe5a16b7a93e556db75c48c2f2 d427136cb6837c24b0a6600765dc3aff3abaa562a58b5c623640d72c1d8ed3ff VERIFIED 1.565 0.069
330026 91f1157ba0fabff402ecbf2883abcc4614ec134a51f277219ee8f52d7b90d521 4c831ea8b8fa43950ed450587caa9706700604595fe11ec5702fe295c20d1688 VERIFIED 1.369 0.059
330027 03d56250f4a396579d0c56d8052984cf5266d74c8189254366b5f820bd8e204e 9838645679c685df245a20345b4be7d041be34f8b1d7729229acd36e1db44080 VERIFIED 2.418 0.091
330028 045311058841382666ec925533cb78d63682a03758d728d27aa759b5963d541a 631fab8c49a3c25dc450e6da1e743288795c90b750b92dbe5031b41a2d5170c9 VERIFIED 0.591 0.031
330029 a2ce332e17b0d197230ab103fed835b299b4f96504fe756a936540152e3ac0ca b7ab3016c3a2b50e624d06e1a0d7764a8f069f6f88e151c6d3430f379c15137e VERIFIED 0.838 0.036
330030 b675772f200112909787899636cfca39509cb0b449f6df4099fb9a3f1b3c9e96 cb2fea35f69315a741cfc164542152192bf42f6d347508e23b091ffaf408b92e VERIFIED 1.540 0.073
330031 04d6915bb5958e95183d618cc105492efe98b078cec0424227eb519563536383 bc63b2ad982e1e81bc804359c6e4c128bbdac87479612252f31a4fe7afca1a80 VERIFIED 5.388 0.150
330032 0cc198dd3026a5e3b6f65abbfc7340fe6bb9781893f832076dd5935f3366cc6f 2c41b29edd8f8832a6500093fd215a7484bcb6855bcf1517194463b6aa170a55 VERIFIED 0.270 0.019
330033 cf58af1bce2c51d712319053ffa59dc447058fc8338c537eff86393fc040fe67 e68d32e959f18ad5621864318d0d5cd1f3765034f56ff7d548236830f2742396 VERIFIED 0.675 0.027
330034 719219700948cfbfd6812051012ee2a9144bb893ba1b3f13d053a08838206d73 e33fde63ea22b30a92ea07bf13e01e5077eca22f5d4cb4b86793e4d5d469bc24 VERIFIED 0.416 0.025
330035 f692b15682a021a4c134634ceffa259b288c08ff8722a5d714e61f79a0e79318 9d4f12dc13e3ce4923cfe9e65739c65781ba51c39bfde241bedf233adcd52338 VERIFIED 0.543 0.030
330036 deb9be3abe54497d9200adbeb3a133fe747405e7f700acc957c3fd66c83657c9 169d68f57844dd523015869dae75cda8596787d82234959157edbd174bdfb3d0 VERIFIED 1.191 0.045
330037 8e6163186639585e6f282f250058a98b962cab9f4b2865cd69ce75ae3f971732 6cc79fa737283d63b3d398615477023b9e03f4f6b8ef31a611a277a1b390faf8 VERIFIED 0.341 0.033
330038 d3616264cd7d331ac497d31a0337be9cfbae35fc09c79fcec915740130473127 8715918230f85ee297a68e3b4599724ba6aecfd40ca685e7e631bb428e7723cd VERIFIED 1.076 0.046
330039 cafb11b3ea7b872fbf2f90ff587c4b0046f9bb574aaeeca0f6fc0cdd5694d6c0 74d14108b1ee7e3f5b445193e79f947b6b53a167a4cf8d38ad1b5ab317a58a3b VERIFIED 0.896 0.041
330040 a0ff9de00e8cf3579b0682eee32ad97116278dd63757752ecb97a582a3c1716d 6b9404883d32b26ffa6d471746cbfc673f3d78c42f03216c79c313465c060298 VERIFIED 2.235 0.085
330041 ba482193190f7ffb0fe63092532e75084f624d3542b9aa22ff794eeed596a29f b1b23f250993c4a7f5eb550b3cbce8db182f0a27a35d0b9fbdcf77c07a743fc6 VERIFIED 2.118 0.080
330042 a60face712f877d7da79cc1c6f01bb3defa37aeb06355606ea283f5ba75571e6 f860e372f79636b5bb9745ce136a9bdb7d47c2e43c4f55783b36424c9d47bee4 VERIFIED 0.660 0.027
330043 651cfbfe2d1955d4c848328194c7a717ea3c47239bb0e3a4a97fcb5ed770ba1d b93416fb47c56ee7f94bda43d6d1b2603735e7f0d532d31ea56ac506f35ab85b VERIFIED 0.811 0.036
330044 81c99effa7d23981a312bfaceeeec97ba1afee317e9ecb89b4bae7ae3fd54deb 589bc77b068d49fd1aa1d56cd65561113c9b2f9312f997e95e7ffc2ac3b8f972 VERIFIED 2.448 0.090
330045 80ae8a2f8c891095c02369a78bacd1a2bee23c16fe412f89c4e1e200ff86cab3 f68cec254cf0a23f38b81b88104177a94e1f458cfeea80993b3b65b0ed4cc3c7 VERIFIED 1.120 0.052
330046 6d61a3f24412792811939a4dffa881a7b47a467398908663234c5b6ca4e6f3f6 3d80850933339a0837da4f3417de4ec7dac0e6a7754568606482f3b264dae9ac VERIFIED 3.701 0.104
330047 7853763af4276356ffd9318a62c394e074bba767a7e1ec47bd8fc964c8dda324 f95815991aad922c2e1d3fd0452b9a9686fe0d869d568cba025b0666c489cf1f VERIFIED 0.017 0.007
330048 e8a357367ed93bc2f58440819b1865711111eff54e9902426f48a3fc726a25ae 3c471ccfce80033f46dade8061ae7211c38e6cf8af626769fbde3d4ac031289c VERIFIED 0.022 0.005
330049 cda0a6805a39a3b7e8549f834e7e94f42c62a6b928b04859361a21943a5acae6 d8a1a87a059562be6ce31055e1168572c26f4787ef01fa8577ade6817f1ae8f9 VERIFIED 0.288 0.016
330050 09476f6ba8946d48c827dfbb7b2b3484d8f684cbf625c650b2d7fc06af369867 1e53573b7081073ddc51275310bfb9038a92c3df8bc32b3bc3765b9ff3ea184a VERIFIED 1.467 0.062
330051 9ed640b7ca113b1d4f752e263599f5e5531489c5b42707f9f6f2937d31ae0e44 105eeb50c6f64e932db65661d49fc82665624ba00d2628fe19097dd5623f5315 VERIFIED 0.020 0.008
330052 a343bee5abdf0f974fd74100dbb0d704ff48c0b833f2734194165186b0a79953 eec60b3bade58e2d1fc3223e7a2b63ea61354b94e4226162c628e9738fd3548d VERIFIED 0.201 0.017
330053 022679f0965b5225b913f015ea89a8f2aeec344abd8fc7d119d955f0041f3c3c 27101d0c7c731381115d81415b149c01c3e007dbf68bde608de3a4d49f2c6ed2 VERIFIED 0.021 0.006
330054 1c53bccc76b466324cc63f2d76426a1d5549c642956c1971320f7c7bb42926f1 9593b0621b958ba4f6332e780cb3d49114dad58dd73953f66e4b3d2c5137cc63 VERIFIED 0.024 0.005
330055 3cf72661a72ff607f33d32dcfe881df87ba8989bff86bb98b4023a784c728058 15c17cf0f494fba654acf68ed1041ad56fc6bf6c25a2c1e2311bdd29bf8a351b VERIFIED 0.323 0.022
330056 e3d29d286ae202bd4086aa4f6989da54959d322574fc1a80d689670bbe7f850a e5cf1aa3977f4d780228c13d78cf00c236a1e99635b3c50a0d142286ef368abe VERIFIED 0.024 0.005
330057 14272700bb731f7bad38a57ec7017282431fa7f2d00da96892ca6cae03a42a5c 49f8e27be2e2115979fed7fcd0e34510c8b3f5367ed1630df66a037fdd9883d3 VERIFIED 0.547 0.034
330058 dfa20362a1334bd893b8a7b5b72aa2af26aeb586e39263d7de1582e75a109106 3e633203cb50aabef9eb86fc56c8facc4159866c93c3977c4f4b9ca1290b49fb VERIFIED 0.714 0.029
330059 d524a6c6bafdaa64ef55234a410b3c004f54e40ac6bbe73d4dc98f18e4d4157c 5acaea30e2fb31eafd8df8211cf7fca41fad29c40fa870eea07fa84cf8a3ecdd VERIFIED 4.431 0.127
330060 01d50af6b7814398e12fe458adb2e96005fdda4bce388a996dc59f23629d6e12 765fe9a34dff993db4f3f6779603f12cc7990ef1107e16a1eac6a1e81a9a38d3 VERIFIED 2.191 0.089
330061 a71f5898baa0f6c02e8b7141c8c1186c1b8e12cd105e4ddf662cdc26b79a73c3 131c995f272f219d9de376b6d8642f5805d3b53c761cd68e1a49e6dbb4aa89d3 VERIFIED 1.047 0.043
330062 ae562f42a22329bff369dc2c334a9426165f10251e21f5ffb2ea64841871fd5f 7d84e45d364ae8931c956b9e7f0a99f83ba6372c57c47c302bd10db445f1ae2b VERIFIED 4.763 0.141
330063 4968d59284b970988d0d3c50344ac41b6aa144b7e76f309ee5ed0c0b0981ed29 adb2a717b0fe4456dd4f7b99f16ec454a890e5fabc01be683ec363dffb065f5e VERIFIED 3.171 0.107
