# cubes [3000,3200) base=[0, 1, 2, 5, 6, 3]
# cube sha256(cnf) sha256(lrat) verdict solve_s check_s
3000 89ba942e8bb89efb368648fca5a948f8fd9711c2be5ebcbc996b3923d9a58415 70b18066316acb49f4f4150ad82137a8b014c48a757764609bf578dc8e0b3821 VERIFIED 0.341 0.024
3001 59992e99283b274a601cc1b5dca9f79a81d987ca85c91cc44a7b597715930ce9 0691e9b840c2fdb8f81c314a8b2b016e9b49abb9f4c02d55cc70eab41cd3bd43 VERIFIED 1.077 0.044
3002 25f3bc3e45320a4bc4d032722991c35a98c1b2b61565b5eac66e421d13ffce1e a9078a725b37906ac448ea91dfec51cc7e547efada4c5ffe78cb120eec787bab VERIFIED 0.013 0.010
3003 416ee60a94c9185aae4bdf9a6b8343ba5d401f3e9efe527e786ba192afd4028f df8e693d65eef48d7522c5368e8d24ad87e8b069d56e925003671303f1775481 VERIFIED 0.015 0.006
3004 059a3486db33747cd83fc741d1785fa31c2b1bebccf76e50635fc2aa8c54a080 96c59dc3faaecb3b658251d382196c3d9551b29fc44637d245eef6178a999e17 VERIFIED 0.186 0.011
3005 a058b5f91d41f5a071321d2c35e24d5f1f92b147ed55dfe61718624e061b075f f5500e12479226b41327c9c5728bfa89257241cb64389d6c47a824b60aa2363e VERIFIED 0.017 0.005
3006 2a7856c93ee749bc88174c8242f0b8d66612c57c0c6c4fd79e05f4c6c6dd5b12 1a360314002fc7c4ab02c2cb0f3a3af750fb9421f59f46f9bded0688f5324b4f VERIFIED 0.017 0.008
3007 796f505238b94228d67c7221e54922a080cfe412773749b768830153f9db85dc 68662a6e074ab4ac227a26132fb78c13c0ef89546478d03e0b926548ec793628 VERIFIED 0.016 0.004
3008 4c2052066b5b1bf732305ba9fe6630f279ad5aceb95e5b1095563e2b34c63830 25ed3fd395dfc4fca651b2630dcba959c911b0c547e92c9580e71af0b98a3633 VERIFIED 0.166 0.011
3009 9de74f0487d80ab5d3b4e48a887f5239a421b5765f26585cecabe454cba0aaab 059bf3c14e4a7390b8379b1cfd3e677bc63ae0e6f46b74e3c7396d445dc879ea VERIFIED 0.018 0.004
3010 a65dea37f9f30e95e89d002191944c0cfa1edbfc9b357e08f6e6de73ec9efc2e eb4b54ca0f1ad52ecc866d52921ed768248ccb4b8cb3377e196289863a5b1ea7 VERIFIED 0.092 0.013
