# cubes [16200,16400) base=[0, 1, 2, 5, 6, 3]
# cube sha256(cnf) sha256(lrat) verdict solve_s check_s
16200 6427c2b6db57d4e76f4eeb68df2fbe5bd857f58985540ed1a02ec3be1eff33ff a7d9f478f6454a4821cbf12fd002401e6d734c5e1b8288083005ddbeb7155110 VERIFIED 4.196 0.119
16201 f522b5e237a8215926e6870445fe745e05e484b146f4a0b519d707884e44d81f 5fdb1641fbc36ea87b4ce8f677f8753ad7e87e40de9f82360bd84640906dcd9b VERIFIED 1.385 0.057
16202 d33f39f6f32fb2edf29f4393a07784bb43b8f7daf9b62f48a5a4b79eca99af0d f48056072c4df3018113da0d424d948050197931bc2ae8feaae07c6627be6fef VERIFIED 0.656 0.026
16203 dcee44d8f6b69fd6efb39a7c4abaa30fbdb782e9f29dabed0bafba6e59ad36ac 6ea0bdfa81242e458cc55879f1e528503aa7efbd0b6213dc7a1d0215087b275e VERIFIED 6.199 0.188
16204 2ef4a9d88c60fd44a10dcd14f0d9529d4f9d27bbd6114356f7986828d14d46cc 61030891d856312ebc407899d145542cea85028250a207541d5a9a5ddddc32b9 VERIFIED 5.849 0.171
16205 4f73a9bf0e4a0415527b4d8afc87be671d32d01e0927b12b51a269da46cc3633 732a0b4b18ffd4a4bb29836c849814777b14c214f0621cf9c28a8ffac76eb712 VERIFIED 8.002 0.242
16206 ce5d1ec845ec70bcad30ddbb1d443ae95e21c4a6ed34a50e8e4d9626803d58e4 ce576c98f6200caaada20401ad0422aa1020892e607d7708f142f871bbc424a4 VERIFIED 3.998 0.133
16207 d63f20469e245e68a02e27903b5c39ad81820f233dadf7906d2152a88661ef58 4d45bde5297a353f1ad51afca92723cd869bf3884755108d4d26ab0fa0dcc25a VERIFIED 0.237 0.020
16208 6836fecfe4c796aef77ae7ca4fabb9524255a5d30f62a3c7b119477ed5d8f44c 2f7a7d61aac1b716fb24cf36c651c0cda3009dc44b7f9626c7fb91d6bc2c0b9f VERIFIED 0.747 0.030
16209 50ba563bf3e9fd5633f9fea7d892ac572e1fe4d1819c73a2cb6fce9a8aa779c1 db2047e0f7b80498399c8fba88c77532e3aaf734aa9e35d43c0ce925a01b4b70 VERIFIED 0.668 0.034
16210 760bebf660c6d1b6d86602384140f2e9236264820e141eb734020f81ab154137 ba132eaff134e810cb29d84a573c1981547334fa4db0e898047ca3a711f4e026 VERIFIED 4.190 0.121
16211 0657e8f6976670f074525184de9054e10430d8ba4d8ef32eb9fb1421c7b371b4 617798d4b238f9e3d2caa9897c93bca7b293b23797c29261b1fe4c277d3679bc VERIFIED 1.043 0.047
16212 3c6aa1237bf3d5f2b67ce931b22933477b42971479329ace27cfd0e29c2acd93 fba502bb3e3a6b5b5a26a46b2bf77b7a43f95d85d77066d83f21c7ac42f11375 VERIFIED 2.963 0.095
16213 e1b9ea88642480e0d9b77d66b5cf33b7660a8f74284fa10a7e60015403bb3cb9 1780fe1651e1014e13299bc8f46b9740509edad940d82a2218705c6e903684b2 VERIFIED 0.630 0.032
16214 f968ccb882a440eb810bad02cf72d91def09f19914cc6cbd4e9f847896b54cf5 c0600b073153c54e4d0aa0706a44892905ded575cddc553e80c6b9c91273bee6 VERIFIED 5.366 0.158
16215 855edbbb617a7d4a7fcab3faa14deb89acebe5dba3b8397e69d7fd0384439b4e 1e84f95136585797e84fc8cbacebd40e6bf5ec64875e1f5de32a395d78c69701 VERIFIED 3.699 0.121
16216 68328c52664d72e98e59f2b0582d5a6cb8b2dac78fe24b9ba3b187d8f09ffa20 86ea630bbd743a5e12afbaf35fbd9b26daeea444f92ed93208b77d80c1beb25d VERIFIED 4.767 0.140
16217 f2b6200fa4d8214047b09c93ba1e56bb55f41a4a429604009b747d685be9c623 83af619bb2e6e0dc6b4f9b8908fa5ebe64a9077563f44967e32d7a627266add6 VERIFIED 1.472 0.065
16218 6d87147e7da0467e305239bbbc66ded93ab642b9cbd4d44f1ee36a595443a21a 0056b4bce0c06b817339f3bc5b54a7618b8a5c9d7bdb5c28e7b6a096e5689077 VERIFIED 0.927 0.038
16219 66a0337b63e0f53bd4d50e9d7890e541b6cf8b5084f6432924d88865dc83ded2 498ec9878544c890104ee81cf2397d7a898eaff9de53f0e7d67e347dfe08f679 VERIFIED 0.387 0.023
16220 9d6a29e12de17172509829926d2b95990091b513e7e05a62fcb52ff0610412bf fae12c6f7d3e850d67b740dbe6ffee9f9578f4a370afd949280c1848155c66ac VERIFIED 1.428 0.057
16221 07dfcc88c1002ee44aa73dd700f8611640940d9e057681e484b68683283c492d 0b1d1f759299bf3368ab20297973f0fdcc982a36931b6d995fb725584f17ca29 VERIFIED 4.482 0.136
16222 aac848c58963e6df64f386789122b625ed50ff9f0e38ebec39df23f40768a492 9b41a7a71000f1a5dac0c56f305a239638719121437b81dcc2242d7659152d44 VERIFIED 4.064 0.133
16223 9e047296744ccc51585e2f1785796af4530fa0adb34e9def2aae591c1c5e44c7 c5b10abb5e0d8cf315fc38fa17ca75143dbd1f3c14f9b9df3f5e6a99f677cdfa VERIFIED 2.641 0.094
16224 ae6eb7f846acccf7f9d6e72aa5dd3a544f0dc49379612b83251db6e6d3a832f0 5b77394fafae4f6a3581bae877111ce68100d65b5a7d8df0519f7ed9bbb38be2 VERIFIED 2.085 0.079
16225 4add0c06d26b6a55459d73312569e31ca3f131ee4a4edcd64d14098768321a26 1dd7af9a1bff6fb433ec22e3addfc58bdbc3283ce21995827b15c9bd5e27f445 VERIFIED 0.655 0.031
16226 606661b56b6522e8073d8bed697bb54e717ca899c566a61032ffc04a47ea4152 d606d3fed217e35a361152c184601de206db5648ce5912a88a583c84afff111c VERIFIED 1.473 0.062
16227 f703c8929b23bf0052d23b0865f1357a73be94c8bff1b4ba2926c2e058b4c292 5eeda479d43b839a9c002932e73665e2e04adfd0c8f5d842d93e226c63e95084 VERIFIED 5.382 0.157
16228 df14a0bf6869cf969e7b91311f0e7e236223785ba7368922b3ef39c094cbee0b b8a7f715ff4d9d320d6d9b908e17d008012b7b78d3e1b16ed67b3791789ea90b VERIFIED 5.778 0.179
16229 63e8ae577a5049a7005950913efa39587d3493fcc3dbb226675649a83dd89f48 090bc8ce6d01840f654be1dd6d60d67907f2a8e80d555a9c28d91449f09ef9df VERIFIED 0.084 0.009
16230 2f16e6193c75654f1264c71c029c30050f33f3288c1394d195a057ec76fe9603 4cbc6e57a2d6297acf74ccd4c14312d1e05a7c8e473a12e8a4324341d369c662 VERIFIED 0.091 0.014
16231 8d96a1324b7a85430757415dbe3136c513ada180d61d37fdc75c5305029735eb 4bc21407f0e96426d9449dab43e9d04fe371188e5e13fa3138bad5e73aa8a07c VERIFIED 0.280 0.018
16232 0fe92533853e69d4affcaee921ee9e2d6bcaf5b0c528b650df07d392f5526e17 736fbd0ce68701c21dadd5be6d927d709a22b0a20c48b6bbda6f6bcd5ae4b17c VERIFIED 0.955 0.042
16233 5b812b828af60692097df2efda47a03bdb759808a4081c81c3fa7ec451ad9136 0c28d88c6a1f98bedc7f686b4442fc1c2a30c3f7eb228ec755f6d4a32e3836a1 VERIFIED 0.015 0.007
16234 8d2ec63e72383e548c78975b7c96867ba67f95495cc2bf6b226c983d67bb1548 971b9ffe3a20bf7d03d5c8991fa91cc27889b21fb84d0b92e0884b78bec261fc VERIFIED 0.019 0.005
16235 c4ddc35b6e07ff2ce4b21eab62b45615f1e80a268032f65317be6d43d85881d6 fc6f2637b174dd3f43882741ac15e7cbe512c7f4778c0bd5f67815e91815e5cf VERIFIED 0.058 0.007
16236 eeec3b8089a27263b6387dac8022328a68b9af93ad075a66127b693ad990a9a0 13c75df8386aac679353ac61f670b125a51a92301f461d8ac467959ab67ea3fc VERIFIED 0.063 0.011
16237 2d6d9a2cc58884d6ed4565de147fdd1c320e3f2d0db94e444b41b8e98715a66e a1ebc4ba38d1c0cf88f0dc16a0ff9b15721c3ce558a9e524555892c38d62d7f6 VERIFIED 0.098 0.009
16238 52f8a7a0f62ae389e68c44a0c18286b9dcdd7be221930c51eeacd1cfccd615b0 9d264e2f7e5ed7051d2fb1925c95e0a633dbd6449994576b781cf81e8512d771 VERIFIED 0.153 0.016
16239 7555daca4ef73cd6ba279e213141433944373f585c8d1371a483cc81bada8f23 3fa869264667f74655d0bd705cd83f21daca65730f8416390be6cf0caa021267 VERIFIED 0.868 0.037
16240 48c907e697d0dd3af4026e5fab280ba22f6897116f8fe24b05f4e568efac3b50 f268991c2d5be8ad61e35197b15d06d8856c374174d9c90ee43e4920d4a3fcf5 VERIFIED 0.019 0.006
16241 f6ceb61a4f91c002c5082ee6f60e175464910eb77381d0f7471ed1dd44822ea4 cbc735a0cb006919b20e1ddb166df2cf2b0de312cb72cab677d72289b2f7127f VERIFIED 0.069 0.007
16242 f15f6281a3d25a9be79c502fc08ce802db7700c31b8290773797f901d69ac8a2 8de15f394313d71512b5d0c4cca13e219c2c5ad281dbb7ec38c978bb14f9604e VERIFIED 0.199 0.012
16243 0e6bcfac5e45ae96bd75920550d4c8cb6fcd7b6a50120a22cf361eb69ff96627 539a542b935aa5d05f4e1f48bbec4c910fb27ac78b3b3035160e15f8f47ca6b9 VERIFIED 0.618 0.033
16244 eb6d4fee64af747262e32890ff18dc1bff668c753b87eec09c0424923babd151 09034c1c7186cbc612c1076c89f5fbbf8c66459f79f8a05e079786c2271a6564 VERIFIED 0.017 0.006
16245 ad2164a6524c3b0c2f15c4ed52e6fb6faefc73a8f815932df6ace44478ec6495 d52b600f0c8994d44a73dfef8ec79e37022c9e99b99ef815f74a64697a4e2707 VERIFIED 0.015 0.009
