# cubes [342200,342400) base=[0, 1, 2, 5, 6, 3]
# cube sha256(cnf) sha256(lrat) verdict solve_s check_s
342200 530e1d2521c202b770b9b8d78273de3088afadbd95643d26ebb8eb363681097e 16823a18c78157ad5b8234f4aa70a4a0bd8d7b0c5f54d0a183b69a1311759bc8 VERIFIED 8.239 0.278
342201 39858c8f2d5368258b013d51ce672554503fd8cc408f927e95db9a384e28c415 057cae2eb069677e59ffb10faac581cfc690eecbaf1764994445ae7127afe4d8 VERIFIED 4.708 0.133
342202 e987c63dec06b36a3009281157203c4b7d4f3182a54424ee1fe5e521d7d799f4 6a9e528c5a0ff0c305cb9af64e57202ae5d83618861a8ab81b9bf2a89d014f0c VERIFIED 2.432 0.094
342203 89a1b369271c1f5d0840ea9bb6039c36700a179331577cb49baae7c0043065d4 5376d25b75e8237e2742ec1ab67b9c7e38d4e8c63e6d9819ecd85b542b451cdf VERIFIED 6.571 0.193
342204 41a40faaa45ff6d7443e2310561c59cae8dc2fb8573b5baf630d5eb744e7657b 9f90341f92f6d79970766da0865f684ba7faca60bf436d3df19d794b1b4fa215 VERIFIED 3.055 0.104
342205 963921307d14c9a97aa757a376e17eb3da967d4910dff0e7f1b913d2e61314cf 3ac86ff2008c2f2eed8e2e2771a31b82bd9139ff9702739c25e7a907adf2a656 VERIFIED 7.911 0.269
342206 e15cc63d5a4401125b2a8c7766a089823106ec1cd31a7054b71b6572b2ba09a1 be0deac566ddb9739a85b8cf26183b83027bf618e9115f074d1f58a49cb9fbfd VERIFIED 7.537 0.228
342207 3fd371268f94b212368717a9743e9f6a4b9293c31ac89bfab74e9b88a981f79c 82028b0eb540fb24c230736ca6a6303dc47c3012aae840cd37a4517415e93456 VERIFIED 7.580 0.220
342208 947fdbb747e81362da7363d2cf40f433a82f5ae13812efc12b67ae377ce84ed5 44932713c198958e925a945c04618bfbe850cf6ab7ce5d74469c93350141ff84 VERIFIED 24.164 0.591
342209 f6c44ed58d5610b0a559f8aec0d8c98bd258cebe2456da2c78744cd77f0124af 1892d3023a80148ee391842b94bcf77ba055e70a7c4e59322e331be5601cac23 VERIFIED 2.034 0.089
