# cubes [318200,318400) base=[0, 1, 2, 5, 6, 3]
# cube sha256(cnf) sha256(lrat) verdict solve_s check_s
318200 48987eb734f1a0f54ee3b6dd247df1070c7f9989db9909fc03721bdc49caafdd a522e6d6d6747b98e0503511b4507c92233b4c1bf1758d636d77dab6e085f03b VERIFIED 0.668 0.027
318201 327de02e5f47666b202a68b53f795974e99008ff209ebfd61f87776e9f7b4776 2303cd94a43745966380ac31cf6166ef47900c37d87fc508b3bc929a56e8cfd8 VERIFIED 2.817 0.104
318202 a6dc8bd2eb5b30ba68c31d1788515daacdb37416b398e0ab3e42fdf51ea42241 61044d391a1ea016d7cb2623ad1adc4508d36f89f4709cc0e5ec11ac164e86d5 VERIFIED 4.128 0.135
318203 789703d28eec656bcd5216c95ab1ce0683c58e0ef3148bbf8373401dcf35c539 79791a5118b08a16125a9e144d95c52d23467361800374b73e3b8818d3f1a90f VERIFIED 5.755 0.172
318204 0927872d041fd851e2d130fe287bfe8fd0730509805644cd9c22ee92b3933360 8854951beef176ffacac6536af55965e46a7b98c7df70d1ea37de999fc69ef55 VERIFIED 7.191 0.195
318205 4c7a5ac61ae3681f847c075c1e71ed27f6e50bb0ad0b5fe183c6736a51c37cc3 b11524104dd464dc093fdcf8dbb23e42719771d2a9baf7849a04918e9755abc5 VERIFIED 0.033 0.007
318206 0066251e1d4f095dc0ace60f140107ddd29996382f1bbab87b6aac41a22e05af 7293c0dad5a302cd2ef69c633a4626acf2b1bd21dfc2999292d57ee1e7ae54d3 VERIFIED 0.532 0.029
318207 050c638195f6aa995f5936e0ef64122ea10baa6d650a0684ef54038243e64b04 d9e943bb204f931ba432ccd81c7c3bc0d3d228ead7185bdc159c101668bd3262 VERIFIED 0.253 0.024
318208 1421b4e71d294593aff1905f4c5f88e45b06109129d49e70de01af57ec49f818 306556c3d851cc4d16a8be874d691cb2926b2939b1a9aa60e52b1d7442b20260 VERIFIED 1.738 0.075
318209 699f42edbc3d63827395aa481b82baa4e34252b1467c4a924d3e0fa5ad20973b 446897488955d6c73a408fbe11524054d207ad9a9c67f7e522be4d5c2ba28c1a VERIFIED 0.021 0.005
318210 cb13ec0e220d83cc92bd8967e8eb7a458f19a2e2560635823699a8a42052259c 2e976f4ce63e1cf769153a6e233e34527bde00abb6c6d362dca015465228210c VERIFIED 0.735 0.034
318211 782fbec0a1c551fe64f52fc0e5bfdd9e797038c8b6ef8836f35f50219f1b2f2e 19bdf3cc6049a251b47febc3532b47f99a9f5290d7d62689c65c04365ab45cbf VERIFIED 0.306 0.019
318212 61229420459094b67f133afeea1b150ce74e2650496b28e4ac2856a76d6434d2 d22f6ec8c164e746635a2c13e1ac93d1e01973ac3d0e9204c5bbe6bc1b92f8af VERIFIED 0.844 0.037
318213 f0f452b7c68aae62e7401d8e72019de4de329d3ae788ec1cb437d4f35232391a 0f1c7562e39953059e276717e7beae7a260c33b8aee5ce9a6a0f8ac0cc105ea8 VERIFIED 0.018 0.005
318214 4fa77045a7d8d6e6ac0284a605732e1c4892d01ee812271e278ac172ed38d570 f74b718998728169b8a834519f7202eb1191cd7f749c5f46e947827fbedfce06 VERIFIED 0.018 0.005
318215 a18d108f54d8ff21fee3ef41f002e7daf6fe3861b175610a800dee5deb81f22e 05e50b8dafca405988528b7e205a0effe6a99fb9c790397c27e9ba601c26aa9f VERIFIED 0.024 0.005
318216 6a0c3ced4a7762c7e8df45e4b9433b77d4d775e4ad0b36793f2eb56b9dd385ce 500bf9b8ae6c73b1cd17e35b8d767ce7de137ff9001b2f037f67af95fc53cc85 VERIFIED 0.013 0.005
318217 35765a39a1c61dd411057c9c4a958af6bb2be652776bb3a03b5b8eef8d7eb776 07118df2bdf6c8ad4770c4b21eb2ae1bf20c2ddea2fa304d934c666e4ec0195d VERIFIED 0.014 0.007
318218 c92f0b88de6e12d6e25d70f789b64afe473b98792382a20620a2668a370b0393 3150fdad303a9db698987459c8ee8d0ff0e7e93229552b2a0806be5f11452a81 VERIFIED 0.144 0.025
318219 f9ef603639ca388692eca316ee09a718fe0931ad0e95ac9d48966d71d8560e5a 1e81cff0ea692e3bc24bc51e117f4d74ed1e6a9b7890e041ffa3f720ade5adcc VERIFIED 0.199 0.016
318220 ea029e141cb7a7e8825455c94bf41a920dbcba30c4285d19b981f9809b25f025 914d22c7db87673bfa49db02dc06dae6f36bf008af2182f15a81659b8fd1df70 VERIFIED 0.320 0.017
318221 b889635d3ae418e4854d16ff8a3632229d1792ebb12555337df3e8e78b88eeaf 832e9cd9605df4b9b467e4089486f229108897cbb2dc8a6fd62cc57d6e679e2e VERIFIED 0.246 0.015
318222 e84f0796b2d451f7f5b6c10d4199c7a51f1801ee16f0bae248a3d42431f417a8 990e443c88cd0c15148fc1259ebce4c25b4d37d6eb3743fdb0a8465514c06a4a VERIFIED 0.890 0.041
318223 2f72f1af135546dabfaa58605eb189bd6f71c30e794ff3c3d6e8263d503ce5e1 0a004187b8521253bb65be628a59df9344b3378fef461d256f0d21f391e8e1ff VERIFIED 3.867 0.118
318224 03a39ecd588227190deb4550dfad6205365747bb53f98dcee1072f225923f3f4 ad1a2e8c045a51c6916a4c5fd03cf31e21668da2defc6dc9a6edea7933d40145 VERIFIED 2.002 0.076
318225 41743574a2f54f5c7b3a4731b26e7c1625f59f30355675d7e7be3aad15448323 8fecda672ffeaed14eae79015eeff58aa157b035fe0d96a8b63c5f04ac8bb63f VERIFIED 5.441 0.167
318226 4da570657f4b4dd03f6d7e887a45421c3f738d86b647912d5b6349ad64e5d7ae 16dc50b795426e426aedabae757cc18715ab7536318c8625e331973b88a7d625 VERIFIED 0.253 0.021
318227 7d9f7e8ec6d0397752050daa83676a42ce678494e0d5ef4d9926a3c145f58456 40664b0d07d147bd4a0b9b6f1fa844c545fb6b504b337eae68f9b4d0b0ec805b VERIFIED 0.887 0.040
318228 da7595928f3198f06df9f42d43deb195b77e1c78972aa66ede984b858e63bfc6 e1af9350cc071449ae444966e360cc890507bcc49e281c93cae7e4039337d46f VERIFIED 0.315 0.017
318229 8990fffb5e17818800208409e3567f21d32b18c868eefb3b216a0a33da96ae6c e9f083ea0a1f6c2f801f5868ec9e44bfbfe234c5f3cdf8eccbb087eeafa8d3e1 VERIFIED 1.346 0.054
318230 065566e30d3f30656320b330d21923a34c57da559d10457ecb01ba97853c440a 5bba1dbc9a01941e8f02819ba840505f2c767ecfd942e2965145d5771152ddcf VERIFIED 4.358 0.139
318231 033d9e935c674a7a6b554c59c72d2b04e791f9756b071e7e70f7c83313599a3f f4b9229656cfd2c46d8ac069115a5b8664348aa98ae68802e23b2b42a4034a7d VERIFIED 4.460 0.140
318232 81b9cf8e560c727cd2de28c6b221b1bca4387829e7501f0325728bf79864f5e5 bc4a2abc45823e149fdb7b9038c55091d8903820f4a26ef711c70c1d9e83fea1 VERIFIED 1.022 0.041
318233 935e866491cd194413a676dd2871391e9be6a14c368d75974051437033a6ea12 6e280c4cc316b68f47c29200921b6e52cd76615a0925b7c157431f9234615298 VERIFIED 5.716 0.167
318234 f270ede2214866c7df7429dde056ec710b7bbdc25fa17d51aae5697647462d64 54713e416ef5b6e71147752b414462af14b788484ddaf24c27b98bef77eb4f76 VERIFIED 0.930 0.042
