# cubes [327400,327600) base=[0, 1, 2, 5, 6, 3]
# cube sha256(cnf) sha256(lrat) verdict solve_s check_s
327400 9f40ddec67cc2fac415c4a56e79c58fb4411f5f1bf996fde0e3a2ff1b5aad466 f0a8a021032366f93ae7708dd1685efa8359ff56e275546811436c1a5bfd9b17 VERIFIED 2.775 0.096
327401 4cf55b837e30eda9d9bd1b8094ff282ea87e38ca0117571b7e98d16f76916971 50bfdec74c2aad36d3ed58b7635e407e766681fee1bc348f56e6bf89204aa1d3 VERIFIED 0.353 0.020
327402 fcfddb02b42b0b0faec07f856bb2b7ac15e9db6bb77d165b1f08f825a8bd895f 5d967d3d3f127b49b35a5d6b94e8071789625252e9e2e9877b3d32b6c73ef0fb VERIFIED 0.802 0.032
327403 69f0979bf055dce022d882bcaa7275c3785a80cac2e9c102dedecfc77bf70e3b fdbf23cdf946e7e53938bb6475fedab47af95dab7b9191b14e4b63568e1ff3f4 VERIFIED 0.795 0.037
327404 fc7753e1b9d82c4b1b2f7411f12c2b138be1630c79ff6ad0b4680cd42aac1138 e4ec70554c22e284d4e6d0a9d2edcbe15bf4429c4e7da27fe002c2395db19823 VERIFIED 1.332 0.050
327405 8cfea20b85be8d03995bbe1c5a363d5a7a758ee5afd89fc01d576171918d1aec 4b434a48dc4b32ef8728b4ff3b03870d88aee62bdf9779c0f2db175e07c988ee VERIFIED 0.019 0.009
327406 73525f2bd7ed4aa663b6f5b8cf108f427572f80b34d70bbbed48d2834482ae8c bac0932e33c41d0229a9ebf0e78eeff45bbb21ab04f035ab3d88ec8e7bc8e9c7 VERIFIED 0.018 0.007
327407 e4ba92c3a8f731e1998a392958c2225fc429378db805743bb7532a652f01405d 834c6e0550782dec8e630a31ad0fe8621aece5c277b69517fb36a192fe3543e6 VERIFIED 0.021 0.008
327408 09837a0a7e63bb9c81ca0d37dfd47da3f80b917b5ff5ca69e7159369ae13c73d a0750b9f40d1f1df85a2ea79ddb141bd2ac6968c07945ff2f5f1074eb3f0a772 VERIFIED 1.414 0.063
327409 66fcf87fdf42bd3a00e4a2f004bfaec3397994d70ef8a7f611aad5744a6c32c3 25e02f4e125003a7223a60812c777e0600d150c88c3491c87d4ed2d7abec0d0a VERIFIED 0.925 0.041
