# cubes [189600,189800) base=[0, 1, 2, 5, 6, 3]
# cube sha256(cnf) sha256(lrat) verdict solve_s check_s
189600 99b3d5ecb695bf13bb5f42033d04c4ab5b22085c97a5c8df7387c948ce91acf4 3e48cc8ee6c9ed650b74217275774fe9d061f3c8defdcac4c45e512c6ef9422a VERIFIED 1.508 0.062
189601 93df89e0ac34fe9e048222c73f392e8e4b114a7f5ea3e0e21e2908224536afda ccf779dfb2584ebdd841c9c2a6d0bd1b662fda229ec6e61dfb75262f3457c640 VERIFIED 0.110 0.015
189602 51b830fe07f38e4bf0836f2516847a63c94ce757a1fc02be04d3e386fd41af9f ee8a19d5fdddfd2f0ad274fce65f739bbe39baf90fea50f94cf51e5f7c4b92e6 VERIFIED 1.057 0.048
189603 5e7c4baf3e3c4471990fe882756e3fd38f690c1c7f760d3c3a3c0568fb0410b5 d99761ffe462a198886839162fe2c2bfd84e4445a4fd92aa88a390cd85fc035a VERIFIED 2.893 0.096
189604 d064435c8d2ab7b94ddb982559c48e8ec74489445fcce8ceb6e4ae4eea717a81 0d169f72daec17ad19a360b55720ed6fc5a3097d17547757f041b72c8adb6824 VERIFIED 3.967 0.120
189605 af174c6470e44a95a835bede719b0626de2bd0f4d7a4190131dd0f8bb9d58df3 b4a656263c64f1cc4d2619d1f4bc3ed681cce9aee5742efd04a2f53f539f0175 VERIFIED 3.594 0.121
189606 fe936f1a6b679db7db4e93991e67856abe8488610167188a17b2bae990932849 c2742924868a805f3b86c331d20b0e27b6dfc623282b13449559932fc913d88a VERIFIED 6.343 0.193
189607 cae33a0de95039faa4412f978511d54259d86c89a28522bee534cdf61db94d3d a2b662d32cedc7ef7c9237012d2ee1ff8c28faf73fbe392aba773f7a718bfa62 VERIFIED 0.402 0.025
189608 1017b7ce99314a36c04524d39ca1b0c220ae815ef8c42e6af8bb6a819bb494e2 3beed5129d911ef3b6738244cb4dbbc6c82dc75479519d4400268d81633eb0ce VERIFIED 0.891 0.034
189609 e0d0547f134a702c9723674fef63912065de8e91a24ceed64e3b394730c346f9 56edf50dbbc0012f199e5ae096f3a4035c8af423190b8b171fce785b2674fbd4 VERIFIED 1.157 0.046
189610 c0d75fb63bebc34b00e1eb86cf51815b08e3b2dade2802035075f949d31d072b 53ef54b40015606bbe716e646a624af023efd1b80174114d2c056b13e8a851e6 VERIFIED 2.414 0.093
189611 26c0cb068143b63bfe9e378c516930fe5f4fbff6b38d5ca58f6f739ba9720c35 3d09df39a6ae3fcb93038484fcc6bc98d5097f6ff9b7951bf54fef65c2faed5a VERIFIED 0.569 0.036
189612 b06550d217dcab875bc957d17f56a2a2aef49ad2c9916559b7e536829c6dc83e 4e7ea9e070b01436bfc6758eab1459c84e0b968bc92dbf9ad3c62c759d39bc1e VERIFIED 0.488 0.027
189613 8fdec13e1f661d04e3c986b3f06a41dce30fcacbfdb69a389738d1f5056e9761 2af1af8356fd85a2b9cab9b849681b60551827660e00571fa8e6e38a5b9876a2 VERIFIED 0.091 0.014
