# cubes [60800,61000) base=[0, 1, 2, 5, 6, 3]
# cube sha256(cnf) sha256(lrat) verdict solve_s check_s
60800 4cfbc4aa8dda8b0f72976694423b654ed84fafaab89f8831f0aa214365681e25 3a373cdfd49a5523e0e4956c8a811cf15b3d413d1aa37797e70a617ea0b9a7f5 VERIFIED 0.195 0.015
60801 260cb854a3cc0bf3a82b0f25b210035edbf1d0c848936c2c5693c5200e6b972d 264f5e2f4e22974d131ead87c2b0344e921a96942d0cf3eb563834e0c84494b5 VERIFIED 0.267 0.017
60802 26ed96784bef2f78d1de0f1768eff9359ae6ebd5a98fdddfa2071d47cd8f3487 b83564d96bf2e31fd8451cd46bec44939f5a017cb74e4c1fe788953e3f72aca6 VERIFIED 0.118 0.016
60803 cbe8f248d2c6b42732ba544dafada10ed7fcda12b88b7e721f127e9639efedec 8276523014847e6795e60a1baf17eda4fa4ef7a453a08dbcffd50bba053ba48f VERIFIED 0.288 0.023
60804 fd6104b2d47996cc6f23391dee094147818c7a214df6dac7744cbcc5adfff4c4 be8a7ad5aabdd002a320930dea107a8413bb00146c42c6058acfece68d1d15ef VERIFIED 0.298 0.023
60805 d33c955e1ee4f7e4ca9cc6b081554b53083b759539f1141ae9f4a530ff9a1525 c48b32b0ffa68a23cf9d430ec7be19624a66de75038fb04eb945062bc6167221 VERIFIED 0.600 0.027
60806 90f3a3b4109b26d461c720a6f36e43daa16401d07279f9ec915ee7fa156dc907 a3c53e65a1104be87e7170aaf782a522a52186dbf4d3765b593f4cfff8cc1369 VERIFIED 2.761 0.090
60807 f6cf0687060cbc5563cc752444dcb0bc35d69e3f8ff2d2b1585a07d2b2f85b12 454ac1acec487c4ae728c1c72d3db75d588e137abed7a97cff588d7b2716f505 VERIFIED 0.114 0.009
60808 91ff0d7e707f8cebd5113904d3a9c1a9ac8877ab2cad3c2fea12300145ab2239 6c082bccc5c384fe65d427a5335a1b43f99a1087a7db2c82e5d39ee49a29f861 VERIFIED 0.363 0.018
60809 fc993b278d6865f4786b0038044576d85da8ec63e2700b3e1020584a2acc498a ec5e88437ae2c154f6e4f7dc3578a5f9728ab37f90b1ab765a6cc324345ea5cf VERIFIED 1.851 0.082
60810 3b76bafd33dc73f06fc3f9c61e8fa85cae89e7c638358372dead5371554c27a7 e71bb3bb0d7b8f60f11ec5ea92d634655bfbe962c0d8b58241fce771de626b1b VERIFIED 0.242 0.020
60811 17e6fc97ba19378afe2c2a8bfc32060f5205d94e4b3c932076302522b2f368ef e38da10d120264f4b53cef71398c7d53f6f16e88558944a42f95788a8e65347a VERIFIED 0.927 0.046
60812 8df1b1da9839a6ac79b9a387166dc4008f5df7cf543be70ba109961ffa8f6152 fc5749193f647f939a52a71becd91ebfa67e6dd76f876fd571fbfd71b34a3953 VERIFIED 3.642 0.108
60813 7f86910c6c07025b9e06df327cc1759a5f7ffec73d7a5ab2a35f1ac33fb6603b 580a64ebc7c536aaca891a456e4b8cfa987ad16955cfab248f1bba591c164b0e VERIFIED 0.720 0.033
60814 40c1d2975935205cee56289abadb6f5bb54ac7273e10d7bf8c96c65292e3c0c7 a52b44b3f5406a7c376a6adc8c0c48f64f936b97670a6a0af032734711f5b00c VERIFIED 1.107 0.052
60815 3fc6903235c2a422bddb2c4c0628c41f0b3d22d30e63c6fa3de7aa564d8b7878 cc07fb64ec6efc8dcf196f4b7fa7551ed3c1f905ec7636813b3a2966534593e5 VERIFIED 8.093 0.253
60816 f812d34a17401c5ceba55168e22274fd5a4af761cd13f95c4201aad23ba8e193 8e209443ff6145684458b3b85f9dfa80935c12e6b6d1f2700bd0ed7ac1c08619 VERIFIED 1.228 0.054
60817 fb2868648985e5d42b45cb63ade174103eac4778a5570a6f09a7484edbf97a2d e5ce951e84d1190e65b47c1c82df210c6f60511729e1dba9716914c46ff0ab93 VERIFIED 1.376 0.053
60818 5a1c254af8d531774eada753ffa1d7bef5ec68cdfd92786c7628788a832d44ff 262a645190636df911bad2438948fc152d99c082eee2b3b1b2d0f76292623c9e VERIFIED 0.759 0.036
60819 bf5a3852ab9aea4169577ab8bc66aa62e2457758ca4bee9ae510684c83049044 2b6296033709e6f1d20e809fed389a63ffb4ad86463eff7a3d733d6ed08d4956 VERIFIED 7.097 0.218
60820 c8a24960fe919ebe57c0093b5cb97bbc21e1cc167c0c07686a3d615b4cbebc72 230d621685a8ba5bb9ba019619c2272aa67127425b094e951154428e7e1f8b90 VERIFIED 1.623 0.075
60821 6863441c7f677eea272e91d524ad16a02e9a9fe8cc10d1784a1e330337c16477 dd17787a3d0e28fb72ab005da7624556820fb8a82b864589fed7e745b64241dc VERIFIED 1.327 0.054
60822 8203d3e114e57a519d2e56da2a4eb1f74d1117b115bba3f5ead5514b24991bc2 a63ec38d18e8b31813a526207bd1a8ca0daec83c57b56e50a1db6a57a3728d9b VERIFIED 4.783 0.150
60823 58d3d3160ff02118ee74f5f2561d4683f16550920a9ffc443ede79667f0186ff cf7419a346aafd396c67285614f51f88101e67a571adcdad8b5ae066a57dc3ed VERIFIED 1.144 0.049
60824 ea5bdae28490743d1914259474dd54786071e63c7ef9926fb588e4bc38c5584e 41e8bca78aa45af26ed0ff0655fa72ff72a3335f18f50ec21765fe135921d845 VERIFIED 5.322 0.188
60825 55669f0f31af1bc7655a15feec35933980478fed6d1be880adfb84f87b516902 cc74b2dbc7f04a57bdc8cb712e25488548b2b989beac66c902eefba2b57f4634 VERIFIED 0.174 0.013
60826 577044523ad5037ac66c906ebe50e103dca442fdfb33a126a034c7bead5e7174 dd13f7f370fff8f85d170886342de2f2e38b621727992389757d6cbed1b8a948 VERIFIED 0.699 0.034
60827 059041bfcb8aa9eeda5ea9e7ba45a6652f3202ba85966808103dfdfb23dbc11a 4f93c5bc078337e6140dc5408b0caf50d02146b73de588160c42be9a8fc991d0 VERIFIED 0.112 0.015
60828 0b6650691731280ec1b495dcf9f4e718a5c823374cc44c448d3cbee02aebe04d 1f61238a56809ab3a12afa3d820237462ef7b855191618d78bb3567e3958cb43 VERIFIED 0.274 0.016
60829 dbf00f93427c792d8c96ff263449b0ff759bdecdf444443c94f447428187ab29 1c3dd58942de9b81ff96bbc83af23bcd7d1ef5953d085e3e0fe9dda1038114b4 VERIFIED 0.972 0.042
60830 00a0305f5175e8016de138878b85e8c45920342e2621e7a3c129429be69eb644 33b6d52546b0b2d4141e2decf8ae772e4242ebc771bf7181a6132fbcad1308db VERIFIED 0.961 0.040
60831 ffa04185f9fe79cd6da28a7f294456a278b17d7bd3d1023e86917f9143771e61 9c15f45b82a0548d96665bbfc3033020e0ec796ca095bec41aa10a1feb043bed VERIFIED 5.097 0.157
60832 39c850466a21a2e516f1717b4e62f174929349e5a29f7bd03eabea01af117ab4 fcecd61bd359d786c96748e59e4c3cf11f703a50810afd25af0111c2974c1cfc VERIFIED 0.683 0.032
60833 83e1defc3a9d6a271d84b3fc96cf1adcb44989d02b2e09a29dab7f23a8507fbd 2fd94c6776a304921fefccc0a05fd7f303001de9b44d08cd2a595c923b86a28b VERIFIED 1.064 0.045
60834 e457d1b3366c9a03b6c92f08dd55b33ac473018ed7f9c02aeeb38f5c298d705c 472fa0ae775c6cd24a4728c6400ffed9dea917890367f6fc5c02bd468607fb55 VERIFIED 4.922 0.142
60835 2e305d6bf93a9a3ea51c603ceed7646720987786086b02d0f42653dec1afba25 cfc2d73a69b06b347121e5ccf17f2218efcabf8921a2abd72c3220568eb56fe1 VERIFIED 5.798 0.174
60836 68b2c736df14450eb463534acf6c4774e5c836353cf2c9affa08fc9ee5168ba6 6fa8f39608e04b24fa1de310dce3ad42f4b2e5d9a92a6cb863b65957dbb6dc79 VERIFIED 6.508 0.194
60837 071c38645413eb6d88b02213d5f83287fe3818d266d63d88cc6c36a814da8eaf c242a5679ce8bd6d05ceb04ba28abf079f4b341223e0d6d8ab171ac39cfe061c VERIFIED 7.479 0.212
60838 cdae7b8cc56617acd79c6eb6141427454ebad1d4e37fa86ffa1cbbb8dac49d8b 74c55480748dfe3d27286cc438c23dd62ce7b3f2442d8d2a5fb2e29b94165f9a VERIFIED 5.899 0.185
60839 4f928e2a178765426daa7cfd28af540368a021c63c09c903b0978e970b920309 25763c990018a3b1d3aeedd27722895c12ecd3997ca52fb626326b97b51b592c VERIFIED 1.659 0.070
60840 7bf6943f98bfb59b6946f1404ebacaca447c584c2a7ca625fa97cc1d2fdeaf82 7b229f2c31d1ce0bbab02c151cdd89b485948e27296dae03f73194860548a77a VERIFIED 10.350 0.327
60841 2a302bb34a64cef5aec6724167f181ef5f21e546e4ecaa11ad3dce2d8c15467e e49b17dc48ef079b6b4f42675264a11dacef7a060ed7a514232716ea856d3f8b VERIFIED 2.425 0.097
60842 2c20d42be0e31a98202cae88b549282aa1dc61c9284cb0de8ef3f9b7c9be6d39 8d8e4f039b2310c04b5df84d1dd02fba4c01ceb493b3fe61859bd8cea74b3315 VERIFIED 3.280 0.106
60843 566d4afec10ca1f608281e54b7c895e4d4d45a5538061042110b0fc831d3e340 1380e57a0629a3c666a6302f021d1b0682e73dedde581c17f243372df4010417 VERIFIED 0.219 0.019
60844 e1321befdf41d66ed62df08c7e2499dc63510a3077a6b7bc966d0e1bce15d444 e75382c1a295a6ca858c5803baf5ede7ec4269350016586e3fce411752a9cfa7 VERIFIED 0.419 0.022
60845 070df6384f9a4593095f950d299f625ded8c143e29399f97396d6836a964e61a 333ab41b131f34a732b45a534eb2dd27bbdfb18a0173dbce601f08dbb2d42193 VERIFIED 0.745 0.040
60846 1e57b5e98ca35020d602d165c8d537730b81ec50d0c6bdad214ed537dec87325 ab42a2618bf07c8fb7a16943a0c798766744f0fd9111c14a8fae47c616c59e33 VERIFIED 0.916 0.042
60847 82fd92b30206545278ff2d9116f3fa3c966306889ed4fd181f92dcc17778741c c2dd5e49c71662e4540c473e5132dfb015787063cb569277d77883e5b06036e5 VERIFIED 0.735 0.044
