# cubes [125600,125800) base=[0, 1, 2, 5, 6, 3]
# cube sha256(cnf) sha256(lrat) verdict solve_s check_s
125600 09e1e435b11e045156a9cb0814360f2c35c1bba061af93cb0bb2e78dae57cca4 a537ef09b937c38c85d5cb13982c4a42a927c76bf022e0173c444b3b3ab31be3 VERIFIED 4.393 0.129
125601 cb8f9744904b863c6f034995786c082cfda3e77f4e31939f52d638d0c2c8625e 255c88ac675ecc1da7bf7bf0b4a6b52f504bb1621d3aa9c795cd6eb96c9b1787 VERIFIED 3.464 0.127
125602 73efea9a78023041afe6effc2609edc09b792d53ddf7b009c7ade022c8118265 f7fca807a4852e7e760a5ed3184fc4a8e37c7935405c40f3a9e502a88b08cf51 VERIFIED 1.258 0.049
125603 df5b2c411145ad013770977bfdb275e15ba4553f6356954ffaa6167d180a8a2f 66e93a3af7dd74374ed49f2c05eb3fddf8e38f162a942b0e1c8703e8e25a2223 VERIFIED 3.412 0.117
125604 60ce97d310dcbc1526065f4090684322b2db98781ce567fc9a7fc376a6767a31 2fb0edb690236735306510771f76d82737eaf9d94e9f236827c66ecd3f15f8c1 VERIFIED 4.556 0.145
125605 016ceb89a9022472aaf7e8c76640dd89978d1f2f010449599c37882cf2375a15 1ff732dc18f8991ff8cea1db37921f18730aa6b62e06a9eb7e9d3ed48ce78f61 VERIFIED 1.684 0.073
125606 1bcac057365d5c8519d6eb062e43d92d1253b423660b73fd484c1c6c03ec236d 007107f5f5877a0de43b6e39fd0d03898d457cd2a30f60632673ca27cb585e54 VERIFIED 1.511 0.059
125607 710f9b98ebf137f146211ea1b83c3f3d6f8bfb5b637cc9f8ab26117811e835fe f3cfdb55bbfe079ca535d1833a26e31d08068c9e7dbe4d7fc52ceeaca9c96102 VERIFIED 3.455 0.107
125608 dfbdeb2232c15605106c7ad750b26b1c684ea4cc845beea422c5b467b6527839 df6f57281a1002f20d9ac5a1912b81923c867ecd96f18307f8383062d4ace8ca VERIFIED 4.369 0.137
125609 d4ea5a721d3f4dc9d55ab63fdbc75c1d2a6c3c1f77ed4a03f9541691c6aa3028 7c798a2bf8e8786d3b1f063431401e1bf6d7a8bb9de2ca926238b9d9381ecd1c VERIFIED 2.416 0.087
125610 ebdb4936580ec5b44a2e760cb5552613f22ed94a35c4e21990d50cf21fdcda6f 2c7f8e6f05b22fa1c416132dee2b697c433cded7145736c6e805ddeada985922 VERIFIED 1.461 0.062
125611 bafd77c7c59711cf22f1369aa7222d8c9a61900ba6cd05a995569af0d8a90240 c211ab06fd35bbe43dbe6bb7906fe5930f23210dafe33b3a144a00cb5d7894c1 VERIFIED 0.261 0.020
