# cubes [169000,169200) base=[0, 1, 2, 5, 6, 3]
# cube sha256(cnf) sha256(lrat) verdict solve_s check_s
169000 06ff35c38e78e948d3fd578532d7b7bfc1006926c235a78bc489666d58bcab43 9139fd7ddd09463a8eca8a0824f5b5c2213d7e0c659fe16ff9e62224f156e85d VERIFIED 0.680 0.036
169001 20fe76535037a515cd72dda895e37e7e358df7b1f680881305de05dc46403c35 538353c69f0506e32a8c037bcb029321c3e9817ec50684935066dea77bac8108 VERIFIED 2.463 0.094
169002 c21e3b9f0fd45441f6c8a8d446583f3c3f9d6a6b1610d6aaf103634539fa1dfc bfa374b1868e2534e23bd69e021851b694438767d2a692a10b780ef1ef4b5521 VERIFIED 0.014 0.005
169003 277ff261ab7147266f708d2c72f6208c78c9ba9fd6c87fcd1cf5a1aded30d4d2 e1824b857b69fd5bcf6da2a3c47e65f3f548a62d279cd8cd739793a0b69b74fd VERIFIED 0.108 0.014
169004 95302039524c3839dd7efbc5a616e4660945d5358e0899fc9212880d6370f9e6 c774956e1f73d195b397d4556d53c2055104e15c44064e5f860b13e0f4950790 VERIFIED 2.019 0.078
169005 71293d473f891dbf6da767c37fc7c8e4201d26776ee8b7e636e2bfa5f2b71ea9 7153934eafd2c5fc1edc8cd7a92039ff4c0a0d4adb22d2dc7c6029971097c278 VERIFIED 0.372 0.022
169006 9d086a043016e5b97f960f1445bd8d5fdbaf10c7437c190e91baf45b675ed62c 58a58eddb00b4668038c8b5b4cb7ac3f2585dd988eb62667eabd149fc2e60144 VERIFIED 0.673 0.032
169007 afc12e578863a0b278efdfb15819a196bf430eacc46da1e26d9b0a686f21aa5e 54af4859f760e7529798ec65b6ede4691d94166dec79e98deb7a5b2b418dffb7 VERIFIED 0.204 0.024
169008 c952d9c9c07d02f94e37a8c83dd194ff840ba5cf59ea69fc43eaafa9d68d8caa 98be14747de9df96f3788725159404cd1195562c4886d118f83964318e24e92c VERIFIED 0.742 0.030
169009 ad5047c9a41bb3cc8d9caf7588d77771f845ff45759db8689f3da002380934ed f920ecd42bfc7f759525581a6691ff8ba46925c78202726cfc21b61d630ae377 VERIFIED 1.645 0.068
169010 ebe5289460d8a63217fa88de70bd852e4ed767ea46f4e7b97a60aada94538785 26eed9551ecbf0ae0d1f2b3dbb38ad565a9ac1790fafcf7db30ec5cf3a0ab155 VERIFIED 0.438 0.026
169011 ac02aae20e33a94f34525cab750087901a8861f9e9ea74ce1aa47daf6f93cb39 c9a306b6c6feb8cda5d7cdbd9a5a109cb8017fe095d6d51b0411a2fbe3880480 VERIFIED 1.333 0.058
169012 08e931d168fc743f5cd862939c4e7b4b71b9117ef89e58bda594f851d2f80021 2e7c18ad6f75bcbef2ec16260a5cde2a7dd8375777ff28c84d4eb7b566466d63 VERIFIED 0.199 0.017
169013 c01d736afab842e1cfb93fffba39e9d27f755327536689e18623af3d7cd0af45 4236fa51db400991de3afade5dea173d12055ec5c01ae56af1be2382bbc741c1 VERIFIED 1.358 0.061
169014 f284ef4053e1a679d057a1a1c44bf333879154ee9fa5b3eee3101137bb83e6b3 555a2977abb0e6b9fad6c55bc240c1930cb03bb6ee97f5a44c9475a748202e1d VERIFIED 0.015 0.008
169015 6e8348a54487fa2c285f6f2ec0956b317562763ef064c012390a73160c72b900 6be7ac70aff65f91b5cb60e13af9648667c5a7a46685de24c4421f960106afa2 VERIFIED 0.348 0.019
169016 2e98ef8bfbad61c5383321e7d066bb709665a73d8a4769dd25859bbf5672438e e6e457211609ca97050f056640217ba809e18fb2566e8e5cd50e1c2ebadc9543 VERIFIED 1.248 0.048
169017 1c1b7d446868856fa7d330e29db7a8c5f500f76760daa5ade2bed41d5692a056 602e2a490a42859670662ed59ae14f8c2d75eb5c67dcb09a8d03422b2868529f VERIFIED 0.014 0.008
169018 520645490e819c1781bcd81768c716f220cbc41725f01a13c03804fbffb60e65 fc0b0c3305ca08abff178588353d2663d1cb4c76711ae29385bd5eef590d62d9 VERIFIED 0.517 0.022
169019 0b706561d516a3d91c5b974acf8284c8af98ce50b61a53fdacffd1ac4e127b25 abc4e9c2fed9bc0d79daffd9ba98bb232bb6152cd7222bdaea28742c412d43ad VERIFIED 1.213 0.051
169020 e3f23e0cec8dd8fa78e84b42fa8ddbd9b472f4dbf1f702be067d91ebe443aa96 0dca718fc8853b8afab4d0aedac40a583b12f47a22113f6e619cedb2921f5352 VERIFIED 4.417 0.141
169021 ea46d3b5e598c571f95d1507e7072fcee798d16e15bbbd26512ef6c003c8e2ce 024970a99011cfabea0074b6c99d17ba426c0ca6c1d92eb17787fb7c8601b433 VERIFIED 0.721 0.037
169022 b5510db1acc87d98861c583ab2069d19441598b668959ed81afa992a14427b3d a1d962161c39acc3741cab2ca3cdaf3bbe26ad5e67facb86f4ad1bd780811007 VERIFIED 3.417 0.116
169023 1039c1e595c376b1f18ef846b1f6fc41139b052c6edbf929c9fdf47b03127099 fc16181e02cc06e933b8dcdb83758765e955ecd71036fe44e8adb0618d128f20 VERIFIED 0.710 0.033
169024 89d8103dc22ddddeeace2165f302a28311e891cfb57692e6d9db069493fa7803 fe2922879e7e042432da2f0307191f73bea38803222249f475880d6578377e38 VERIFIED 1.659 0.066
169025 2bd936ddb88e587ca76679739e046117eecb777b7d6c7e2542c5466955a346cb 6db4b9c045867d5a17fc6cfc8302b4f12bc81b6ac5f33252210b9e91cc70a9da VERIFIED 0.020 0.006
169026 4557f8cb32027595046843e187d367882610e706d3dfb2c1af86196857233b0a 5bb67d6da19324859ec0a9ef77f476b00c6f339efe0a55a21c86d6b12112ccd6 VERIFIED 0.656 0.032
169027 db185ce982844d64b856098e4659f844e6fa6668f2d3b4210cca0653ece7108c 46b36101a379daf90955992d4fc8f4f2c0307039dd6e641249af1f8e4fd09088 VERIFIED 1.435 0.049
