# cubes [256800,257000) base=[0, 1, 2, 5, 6, 3]
# cube sha256(cnf) sha256(lrat) verdict solve_s check_s
256800 e10be7912ffa0e07fa3b3d59283aac40089b0a0278b79b11a705a30627e41700 1bd65303a33906825f86cf2e6716f2a763282a984c49ef6624f1c65c6292a8f0 VERIFIED 5.398 0.170
256801 5dbd79feb8932b1df0ac9e169bd73ddb8449640e8dc9ab715aec24f8081ad97b 14162f5818ed544a33da8e996f4e4eaa8c9cdfa7a37eaed4332209a9b4c7cb34 VERIFIED 9.500 0.306
256802 b71efc8419dfc1f80ebfe86881c71e2f6200c760a79516abb889642cabfe1edb da998525ac21cabef0145f66fc02cb9642ecd1b65644cb11558d6e996302e638 VERIFIED 18.624 0.472
256803 8cbf80143622800a2da54c282fa9db57102ac0049d3d518a8365ff296807c637 9b41124b85ab77a450e248137e43a74e4a1e2873decd23a4507c4633526016a5 VERIFIED 0.852 0.037
256804 301aed013727771155086d4bf7c3015a408d11e01b18959f58237edd2da36537 2773505c2a457f8143d25008d2ac7e3292c59d3d85b3387a615698c0c6e689b1 VERIFIED 2.228 0.076
256805 aed24f2ee5b6f84f37d58acdb5e8cdfd49125ba3d85fb57fe10927281caa0916 1a32a4bf9970a655edc36863d3f65ca7eb76adf6ee4321998ad6aa17e4f9baec VERIFIED 5.780 0.155
256806 cc9c85e622de3804796a158678387997330563ea6bebfba5aff29fe48e9fe196 03078e3a13bf72d5626d0cd7c57476da671d5fc54c0fc0bd6b8c8d6616c1207f VERIFIED 6.124 0.186
256807 4140d9fa3aa78de3899043a47f04a0daade0e087ee7da8902e9cec4a0a110b0f 6adf13f9563de46634281c6ae3e000cae84cf3246029b56f031fd021af8454ba VERIFIED 7.516 0.222
256808 6c7202386b257c72ecc26be9ab8000b8b54096d56423b692798f3ddc0d9001c5 8770a1b44d45c0f6db7249e59f6c7f6e6165cbb11ab8ac7f521a469e542d0e20 VERIFIED 8.401 0.279
256809 20f113a2f4eb7dff973baf0f0241b07cb6e4dcf349e80f1ed7d64af31e17da2d d79729f2eb1c9b2dbf46ae35fb32855032f1668178bdd7fd210cff29aa4375ab VERIFIED 5.077 0.143
256810 e2af46efcb9ed9814d5a9db29e18cc32aba4b4a0a99027d05a0a8744ebcb8b9b ce8d3f672e147010885bacb1b6d857896c706fc56c6684fb7fd0bee18ba42551 VERIFIED 2.636 0.091
256811 66d163d0787e48419d0d36e0aac24d5898604e048876aefa951135e55824d975 a2cfe5a5e98c63aae018529aca1a758fe1dd131a1c085a42b01690c9bfd7e4cf VERIFIED 18.365 0.454
256812 869380a92e1f4c82239a3122043df332a774e00edf43e9137b4467e936165bb8 548994e8048e4976556fb961b8c4819834822b6087472a8a7b115a992663c90f VERIFIED 15.906 0.470
256813 df3888bf2430d6b9c1bcbe175c070ba96df7f3b292575f8ce749f571a8861285 046421507925c74c4b78b59b70fd9b2ac998823557ea55bfa438bf9abac3d5c8 VERIFIED 4.049 0.122
256814 d3b4b667c988899ba3d9c42d53a4c23c9ebf5029453827a730d55bee7dff5029 8faf10aa01471c830399fb10c068b308c5b7b0761eb5509d1da4a31525eeea41 VERIFIED 5.365 0.163
256815 6036ee6fe43757c96cf9664e6ba56cfdbb0e5af449f56fe90d82b3783866a17d c479882c7b75fe95a4fca8df6437bd9e906e72071d0c7181ea6f65a529cb1300 VERIFIED 6.630 0.222
256816 7abe628269eeef836e3a02cb9b1cb6a95a556a3afc20e91a736d0c1cee027cbf ae53861cc84f771b1e637acc92d371ec743f31e2a977568cf6f7a892e90f5850 VERIFIED 3.658 0.118
256817 4992e85866937cc2977fc0899f2a81cdbc95d54011d94fffb5618650944dfa2d 597702740c757c4af28f1ed3c17d9344e1b344174c0de6cf3d924b5835d246e1 VERIFIED 6.327 0.190
256818 7a5410ef94513c14407df96874bc785ce2b24df032e8598f0921e40d2fd90447 e71f160ab86535ce42a080043b11d86b929b316175d0d83ffa43cb1449d29e83 VERIFIED 4.145 0.139
256819 ce72267abf4c640877cc486902642304b520264275ef07fa58587682ef1c1a73 38ec559ec434b12909b78f51d118d070643e844029104ec8b7909c2ee0e826f9 VERIFIED 7.809 0.236
256820 0846064dbff84c4494fa0a0d0b1981a92211b73b7812933f843e6e22f808156d 8a18a7ca07886f3a3b10bd85fd2ddc190ea2f1096e8f5478ba8a2c641dc3f91e VERIFIED 7.347 0.225
256821 54f52381c640eb83c754caa098d93577173bca8ccc82d6ea9d31860da48da6e0 9aa7d2c89643fa6566b9d9e0d498523671cd1cab25743275f14cb589f5b6338c VERIFIED 4.511 0.131
256822 12ac1c47008b2155233cb6895e9ab27868c236be197e0ee489323a48ade243f1 f230dabab28a0175ebc0c0471bbf23e458f1903b68c8f56f03cd1d5c9941b525 VERIFIED 3.399 0.113
256823 f0fa951fa3b8a2c320bfebebb3aad996daf30bfe67f7de996d3e24e74861f419 464d36c06e877c50bfac5d2a062e54cb4d1e62a3d3dbada544d480f887b25f6b VERIFIED 8.751 0.293
256824 e3823c64101041871cabd2956cf3341289f7a86889271eefbe122d91e4f7a3ef 91fb7c9806e5b6ee8fbd2d834fe0821f30f933aec672be53cc5341b92db87b57 VERIFIED 5.517 0.174
256825 f054f9d41a0aeb463667936fffc4b1f826e3050728fe28e3587cdad4a665fc63 5cb60284eded99b6260c2887f7a18c96015d6ec7702a0840c4d684bfbe2f3747 VERIFIED 2.144 0.080
256826 44991c73075db58308aa894c047794011946e0fa72b1be753d3ee4702f5b6a4d ba0acff22c40ad9620ae5cfe2ca9b794b9f7e2dd2ff53c7615eb9ad8d4dda2c4 VERIFIED 4.744 0.151
256827 36ad0b693fe4c6d99cfd2d8239ad83596f55b372f8d106a77c4be9452a6b7239 0873f7ad5a164fa0b158fe22a43cac3d80909300e1a8df38adf44a6c6cf651d8 VERIFIED 5.451 0.169
