# cubes [199600,199800) base=[0, 1, 2, 5, 6, 3]
# cube sha256(cnf) sha256(lrat) verdict solve_s check_s
199600 aee23bd1541a71a5540127fc215634e733c2334d2ed19375d3f278437214db43 f9b4826b94ea5c5fd40d74ad082c7787acfbb7b05d702376cb9ed2f8c2c0209f VERIFIED 1.008 0.043
199601 dc12fa91d7e012af3a0d3f3bbf45fb879018195ff5a37f10d3a81aea341cc465 346531d0ca53b5d492d7d868858e07c30cb1421d0c657e83c9aa3b696d6a4d6e VERIFIED 1.133 0.048
199602 bcabbfa6e5b2cae949f17504e8978c29c6a077e147140d6cde57a056ece1d39c 43f430d1d71d70046e7ca3b38e3076bf07ce92e0be4d65a63e61978650f352a2 VERIFIED 0.672 0.029
199603 d50e9bbdadf44c5e84d362f666f2c1577a0fd5ff9dd5073fe16c6d8d6face45d 51594eafdfb0ad3181c5017886a18bb7bcce1e121a3a95ead59cd0c31e2930a3 VERIFIED 1.430 0.053
199604 8983f9cad5035e04fb785135beef25960e15c0399eab5a4cf14ba6b3eaa965da 1cde480f9b5fd4571d9d42a5f67668d720ac9f1abd61a4bf713eb3533bcbd542 VERIFIED 4.904 0.163
199605 8f1b1d1cf8b84cd820dd0017e74a3fe604fa04a4ebb2594446597f1b40fcc949 5a45b879ce3b91f9f17c39b312e91a1a47118e0a7d49e161df489569dd1bb9b7 VERIFIED 3.691 0.115
199606 005f8f1dd51043928afe741818f5e57c2f4207a0337ce5e4210abc3b6d8d4b61 57e024db0d16526eab84ac588e28e9eb273f4a7b29055fff03ddcb13053d4bf5 VERIFIED 0.772 0.036
199607 12bdb4264f8e469c5fbd8b59c163af39cc690c25350a7bc709fdc471c5ddbc02 000f37c90af5270bf4f9670aeff3b1e28028f6421d44a803b6c06d7c60f56231 VERIFIED 3.337 0.112
199608 761905dca1a6b865ed6113c7de25bd2c808950aa564697b4246d69e91bd8d7a1 ad8fdbcbbea01858d3084940c5d6f603126a1fb802cea1c46d5a77e4bbab7c83 VERIFIED 5.302 0.164
199609 f34214d42e755e69782f868a9bfa3fb7053ca7ac7a18a650b17cee3246ba9779 d7a074bdd97ac498f8ea9c493b5f7d976fd05b7164564d3a92b2741075c24795 VERIFIED 3.432 0.103
199610 1a6133a9153fe02c60fcd4091b8e54a8a3497caf965606a3d4357b2f2e9f77ba 09fddad3a619edfd0cd6312eee240caf9d243007db606284e584b9c514654cdb VERIFIED 7.336 0.225
199611 e7998b48fadaaeb175c97c5272a1208b91f2d92b74f2a02155005c17ffc8343a 2363d99562035cf2c3372ac115fcada92fa726c2f384ff4cafa00212623ef5c5 VERIFIED 7.874 0.254
199612 30ffd49eb16d98809bc390877f7d5214d327e94ecb600cb41f6834708a4bcbb1 f2e8cb437b649f4e283fb528877a2a79266d8d4549480408a8c38017d0e28c05 VERIFIED 0.015 0.005
199613 d7d1aecacdb897f54b278d2cf6c3b6bb82bdb8dddcefd1c2423dcc33d1aeec06 16f4b2f9d2ae3b30ade3cdec650aa7c1586fddfc011ec547d41075d548c06d6c VERIFIED 0.116 0.009
199614 cb419aec4600d2fa6907d173058b72835c74c21ddca7b9bb3d44c0b27331a38a fc342381f34107123de74a8edfdfe6e6f9f050caf29da171fe0aae013ef4847c VERIFIED 0.288 0.016
199615 004e08f0da895d91eaa6d165db30ae6cd17131291e4724600dbbcd3bab9b2e4b 5ad0716a8da77c3d9602239ef080afc5463add81ee69f9d23245924f0aee52c4 VERIFIED 2.087 0.082
199616 a00c36a0a104379918a8d857386de08dc45cfa1dfdeda9b486df81a2642fab52 2c1cc88348f737f7070a86e00eac7aa562b890da687da3c0e3b6c2107b0350b2 VERIFIED 0.670 0.034
199617 6d2ab7a28199aa8531f1dab9549f3cb8c9a713eff7c207df5fd5654ae883cfb2 cebd5a7880c6424de5c5fe636f8329316887de9935e2ffd702222ebfc10e8b1c VERIFIED 4.434 0.127
199618 ce038dc5abcf0835ce73ac478bf75e8b0629f8e1bbd8c2066b10ab5b08330774 26d25652b3c3746ef681085c55d748dae84af52f967434cb992e2b7b85d4c31d VERIFIED 0.018 0.005
199619 95a5ac57009be26f9b8eb7834b5b643f7999ec004b785b123351ce62635087c3 ba9e63f1e8c089d9bfef3bf791c10fcab62c0ffe7a89d91975dc2d3ec90bdc2c VERIFIED 0.407 0.026
199620 90685f61a546be9335305b98ad366837ba1664a75a6159331893576b3d109d5b 14dd9bdc5fe81c096eca857522b63004dcd3fcb25d4252e159ca90dd53cc53c0 VERIFIED 0.954 0.042
199621 96872e369dee8b13482667bb527cad03cfd4c5c06b6ea53b6629ea877b487f11 ac6f5e41f56e28a6e0077a8421cf394a1f6a9eb225cc0de11868bc389ba2f02a VERIFIED 2.049 0.089
199622 09652d6dc181e5349eb19863d65b9a2872c78f6e03a5616d6a1b995b362f02b9 eab3557287e902393369c3612bf6e9d2bba12d5762f1b33cd27bdd027f8175fb VERIFIED 0.014 0.005
199623 7286d6fdc49fbe79980892c9b534636325c8cbab736665807bbae84b24ced3b5 b28b4158144100736ff1e99875abe0ccaf03c5d761f1eee0e2375954bd4cb270 VERIFIED 0.023 0.007
199624 d6782de8bb53fa834a87c936a8412f501f9de09a07494c5b7700642893a97513 c976ae17970ff3545647019b3c9098937d2592a2272f03bde2a9a907739ec22e VERIFIED 0.020 0.006
199625 973191d8aafb36869ac8580b82714c4e39dd4093ee5d3a7b3ae9d1335b9b2c25 551d1c48141748ba953cb3deab739e6920df3d2596add99703d1101811caca69 VERIFIED 0.020 0.008
199626 91fdbb3c57255509fc7341e2800b0bfc8b77181788103a355806868554964aa8 c1890b6ac2e6fd2b7090346634732458486842996e8b937d1052c667555263b6 VERIFIED 0.019 0.005
199627 4e5930e9c4397a73226a7c38a63a0b52a7e68d3b813c752648d0cdfb6f215eb0 5b66d88e03d1eb2527f6dafaa6d65d760fba7161f562b7e6f21d5949026ef39d VERIFIED 0.147 0.011
199628 89b318d3c530b333f6d9e0f557a0e6ed13b1e46b1f8f07b3a49624f81325257c b7a54688cb1b9505758a25dbf3f53e10854137912afd75c65f8262c282aeb6ca VERIFIED 1.658 0.077
199629 939a0fd31a4682c95ec41e0e1fb83cfb22cf84753ee4a3eabef05f1a975c5b0c 34a66943befc72327c92fd1d4d8cdcbc66ffd97427edb06112b10ba804eb3d44 VERIFIED 0.899 0.042
199630 46d0b4c15bca668283da591083366364deed401ce72cab48a21a4bf4cf5d73d7 524db8bbd8c7d0ebcde04737bf4ab682c9b9363a211abe3e1562eadb0f4ea581 VERIFIED 0.164 0.011
199631 e6d9f2581b4dc30dd23243d30fac99719aa0ecb8c8f4e6a341771ad726a0ea56 feffe374c6896910d8a11f0495a45cd2ae28ac14906caa51f72e5a0349a57719 VERIFIED 0.976 0.043
