
=== FULL RE-CERTIFICATION -- ~24 core-h [p19: q=19 margin=exact base=0 1 2 3 4 11] ===
### certify Paley(19) margin=exact by depth-6 cubing 2026-09-07 00:30:06
  base [0, 1, 2, 3, 4, 11], break arc (0, 1) + non-arc (2, 1)
  142,251 base states -> 22,876 live (16.1%), enumerated in 1195s
  115 chunks of <= 200, 10 workers, check-and-discard
  200/22,876 cubes, 61 min, ETA 6899 min
### done 7.65 h  solve 68.1 + check 2.8 core-h
  ROOT (CNF)    0eeb9dd53956fec2c77b752d74b89b12c7d1dddd6dc4047405ecb7907896a78a
  ROOT (proofs) 6a677910d5823966cdadf0dab19d3c82554d55e89881dddb335a1d99004d6e77
  VERDICT: Paley(19) is NOT margin-1 5-inducible -> /lustre/fsn1/jobscratch/uex76wa_1829004//recert_p19/VERDICT.txt
  ROOT (CNF) here     0eeb9dd53956fec2c77b752d74b89b12c7d1dddd6dc4047405ecb7907896a78a
  ROOT (CNF) expected 0eeb9dd53956fec2c77b752d74b89b12c7d1dddd6dc4047405ecb7907896a78a
  PORTABLE ROOT MATCHES -- same problems solved, independently
  (ROOT (proofs) is expected to differ on a different build; not compared)

p19/recertify: PASS
