# p31mv_majority: settled base states, one per line.
# base_state<TAB>seconds<TAB>base_mask<TAB>break -- every one RESULT UNSAT (no witness).
# host p31_minus1v.bits, base {0 1 2 3 12}, base_states 8031.
# This file IS the record: done/ is resumption state and untracked.
# Written by sweep_snapshot.sh; rebuild done/ with sweep_rehydrate.sh p31mv_majority.
0	14.799	947	0 2
1	28.796	947	0 2
2	15.331	947	0 2
3	52.922	947	0 2
4	36.183	947	0 2
5	26.301	947	0 2
6	73.206	947	0 2
7	52.360	947	0 2
8	67.988	947	0 2
9	44.848	947	0 2
10	38.727	947	0 2
11	79.149	947	0 2
12	20.367	947	0 2
13	24.564	947	0 2
14	10.238	947	0 2
15	91.543	947	0 2
16	54.702	947	0 2
17	36.918	947	0 2
18	122.226	947	0 2
19	56.181	947	0 2
20	44.166	947	
21	119.577	947	0 2
22	119.004	947	0 2
23	94.664	947	0 2
24	71.051	947	0 2
25	38.761	947	0 2
26	72.912	947	0 2
27	32.784	947	0 2
28	95.140	947	0 2
29	81.339	947	0 2
30	88.923	947	0 2
31	38.352	947	
32	105.421	947	0 2
33	76.401	947	0 2
34	64.922	947	0 2
35	100.435	947	0 2
36	93.776	947	0 2
37	113.352	947	0 2
38	91.585	947	0 2
39	69.367	947	
40	126.946	947	0 2
41	88.625	947	0 2
42	1186.191	947	
43	12.337	947	0 2
44	83.457	947	0 2
45	44.366	947	0 2
46	64.542	947	
47	62.061	947	0 2
48	71.466	947	0 2
49	86.847	947	0 2
50	34.021	947	0 2
51	36.865	947	0 2
52	83.922	947	0 2
53	121.276	947	0 2
54	120.968	947	0 2
55	59.318	947	0 2
56	129.397	947	0 2
57	72.762	947	0 2
58	26.314	947	0 2
59	76.480	947	0 2
60	61.568	947	0 2
61	112.313	947	0 2
62	101.817	947	0 2
63	83.646	947	0 2
64	87.801	947	0 2
65	68.983	947	0 2
66	41.529	947	0 2
67	28.075	947	0 2
68	86.390	947	
69	66.535	947	0 2
70	39.125	947	0 2
71	88.534	947	0 2
72	109.091	947	0 2
73	85.081	947	0 2
74	152.797	947	0 2
75	60.451	947	0 2
76	106.602	947	0 2
77	30.107	947	0 2
78	81.531	947	0 2
79	72.185	947	0 2
80	123.399	947	0 2
81	129.032	947	0 2
82	66.872	947	0 2
83	25.228	947	0 2
84	51.704	947	0 2
85	54.719	947	0 2
86	23.584	947	0 2
87	86.168	947	0 2
88	56.408	947	0 2
89	39.700	947	0 2
90	78.650	947	0 2
91	53.828	947	0 2
92	66.325	947	0 2
93	94.767	947	
94	56.019	947	0 2
95	144.679	947	0 2
96	208.394	947	0 2
97	105.162	947	0 2
98	171.992	947	0 2
99	201.433	947	0 2
100	77.959	947	0 2
101	142.718	947	0 2
102	183.131	947	0 2
103	113.822	947	0 2
104	172.723	947	0 2
105	77.983	947	0 2
106	149.802	947	0 2
107	154.559	947	0 2
108	115.459	947	0 2
109	204.114	947	0 2
110	224.365	947	0 2
111	151.085	947	0 2
112	184.426	947	0 2
113	62.863	947	0 2
114	143.025	947	0 2
115	114.008	947	0 2
116	86.605	947	0 2
117	89.957	947	0 2
118	145.653	947	0 2
119	9.170	947	0 2
120	106.878	947	0 2
121	111.282	947	0 2
122	137.465	947	0 2
123	165.983	947	0 2
124	127.275	947	0 2
125	187.536	947	0 2
126	125.069	947	0 2
127	210.457	947	0 2
128	183.599	947	0 2
129	122.526	947	0 2
130	124.524	947	
131	67.053	947	0 2
132	81.082	947	0 2
133	79.074	947	0 2
134	44.724	947	0 2
135	149.902	947	0 2
136	168.743	947	0 2
137	115.071	947	0 2
138	205.498	947	0 2
139	73.113	947	
140	15.587	947	0 2
141	105.063	947	0 2
142	97.037	947	0 2
143	112.613	947	0 2
144	77.015	947	0 2
145	88.739	947	0 2
146	146.156	947	0 2
147	126.095	947	0 2
148	112.878	947	0 2
149	208.569	947	
150	150.864	947	0 2
151	21.083	947	0 2
152	111.606	947	0 2
153	14.484	947	0 2
154	58.684	947	0 2
155	108.929	947	0 2
156	13.166	947	0 2
157	78.153	947	0 2
158	126.469	947	0 2
159	56.773	947	0 2
160	47.142	947	0 2
161	62.110	947	0 2
162	24.766	947	0 2
163	70.736	947	0 2
164	218.486	947	0 2
165	122.359	947	0 2
166	89.022	947	0 2
167	71.206	947	0 2
168	108.604	947	0 2
169	8.556	947	0 2
170	98.293	947	0 2
171	98.002	947	0 2
172	100.110	947	0 2
173	160.812	947	0 2
174	127.847	947	0 2
175	165.061	947	0 2
176	112.444	947	0 2
177	207.861	947	0 2
178	158.946	947	0 2
179	134.354	947	0 2
180	65.189	947	0 2
181	131.772	947	0 2
182	107.081	947	0 2
183	78.171	947	0 2
184	122.823	947	0 2
185	78.512	947	0 2
186	138.071	947	0 2
187	178.438	947	0 2
188	169.454	947	0 2
189	181.129	947	0 2
190	71.224	947	0 2
191	137.194	947	0 2
192	101.836	947	0 2
193	35.856	947	0 2
194	87.677	947	0 2
195	71.381	947	0 2
196	97.567	947	0 2
197	101.743	947	0 2
198	58.529	947	0 2
199	182.624	947	0 2
200	209.827	947	0 2
201	113.356	947	0 2
202	100.653	947	0 2
203	14.617	947	0 2
204	155.530	947	0 2
205	174.744	947	0 2
206	139.814	947	0 2
207	27.154	947	0 2
208	56.777	947	0 2
209	177.333	947	0 2
210	41.455	947	0 2
211	57.468	947	0 2
212	40.131	947	0 2
213	91.372	947	0 2
214	100.849	947	0 2
215	98.766	947	0 2
216	166.460	947	0 2
217	159.277	947	0 2
218	169.950	947	0 2
219	61.697	947	
220	21.594	947	0 2
221	106.306	947	0 2
222	91.276	947	0 2
223	128.096	947	0 2
224	67.465	947	0 2
225	113.541	947	0 2
226	151.059	947	0 2
227	134.262	947	0 2
228	94.154	947	0 2
229	195.311	947	0 2
230	134.042	947	0 2
231	30.025	947	0 2
232	104.895	947	0 2
233	76.346	947	0 2
234	155.379	947	0 2
