name	tmin	connection_set
c000	3	1,2,3,4,5,7,8,11
c001	3	1,2,3,4,5,8,10,11
c002	3	1,2,3,4,6,7,8,12
c003	3	1,2,3,4,7,8,11,12
c004	3	1,2,3,4,7,9,11,12
c005	3	1,2,3,5,6,7,8,13
c006	3	1,2,3,5,7,8,11,13
c007	3	1,2,3,5,8,10,11,13
c008	3	1,2,3,7,8,11,12,13
c009	3	1,2,5,6,7,8,13,14
c010	2	1,2,3,4,5,6,7,9
c011	2	1,2,3,4,5,6,8,10
c012	2	1,2,3,4,5,6,9,10
c013	2	1,2,3,4,5,7,9,11
c014	2	1,2,3,4,8,10,11,12
c015	1	1,2,3,4,5,6,7,8
