4	116231
8	579568
12	1852528
16	4296287
20	7744870
24	11345597
28	13919189
32	14602845
36	13294891
40	10610386
44	7470362
48	4655387
52	2569033
56	1252143
60	535766
64	199140
68	63190
72	16634
76	3455
80	510
84	41
