name	n	tmin	margin	verdict	verified	seconds
r000	21		exact	SAT	1	0.3
r001	21		exact	SAT	1	0.7
r002	21		exact	SAT	1	1.9
r003	21		exact	SAT	1	2.4
r004	21		exact	SAT	1	2.8
r005	21		exact	SAT	1	2.5
r006	21		exact	SAT	1	3.5
r007	21		exact	SAT	1	4.5
r008	21		exact	SAT	1	5.7
r009	21		exact	SAT	1	6.9
r010	21		exact	SAT	1	8.3
r011	21		exact	SAT	1	8.0
r012	21		exact	SAT	1	8.2
r013	21		exact	SAT	1	8.1
r014	21		exact	SAT	1	6.2
r015	21		exact	SAT	1	7.5
r016	21		exact	SAT	1	8.6
r017	21		exact	SAT	1	9.1
r018	21		exact	SAT	1	8.1
r019	21		exact	SAT	1	5.8
r020	21		exact	SAT	1	12.4
r021	21		exact	SAT	1	12.1
r022	21		exact	SAT	1	12.1
r023	21		exact	SAT	1	24.3
r024	21		exact	SAT	1	13.7
r025	21		exact	SAT	1	13.1
r026	21		exact	SAT	1	13.0
r027	21		exact	SAT	1	8.8
r028	21		exact	SAT	1	6.9
r029	21		exact	SAT	1	9.2
r030	21		exact	SAT	1	8.8
r031	21		exact	SAT	1	14.7
r032	21		exact	SAT	1	13.2
r033	21		exact	SAT	1	15.0
r034	21		exact	SAT	1	12.1
r035	21		exact	SAT	1	11.0
r036	21		exact	SAT	1	15.1
r037	21		exact	SAT	1	17.1
r038	21		exact	SAT	1	17.9
r039	21		exact	SAT	1	16.8
r040	21		exact	SAT	1	14.6
r041	21		exact	SAT	1	16.1
r042	21		exact	SAT	1	16.7
r043	21		exact	SAT	1	12.8
r044	21		exact	SAT	1	9.8
r045	21		exact	SAT	1	12.0
r046	21		exact	SAT	1	11.9
r047	21		exact	SAT	1	15.7
r048	21		exact	SAT	1	12.3
r049	21		exact	SAT	1	20.3
r050	21		exact	SAT	1	19.1
r051	21		exact	SAT	1	15.5
r052	21		exact	SAT	1	15.7
r053	21		exact	SAT	1	13.8
r054	21		exact	SAT	1	25.4
r055	21		exact	SAT	1	29.4
r056	21		exact	SAT	1	27.3
r057	21		exact	SAT	1	29.1
r058	21		exact	SAT	1	31.8
r059	21		exact	SAT	1	21.1
r060	21		exact	SAT	1	40.4
r061	21		exact	SAT	1	19.7
r062	21		exact	SAT	1	14.4
r063	21		exact	SAT	1	6.8
r064	21		exact	SAT	1	15.4
r065	21		exact	SAT	1	8.7
r066	21		exact	SAT	1	9.8
r067	21		exact	SAT	1	11.2
r068	21		exact	SAT	1	11.0
r069	21		exact	SAT	1	11.4
r070	21		exact	SAT	1	7.8
r071	21		exact	SAT	1	49.3
r072	21		exact	SAT	1	13.1
r073	21		exact	SAT	1	10.3
r074	21		exact	SAT	1	11.5
r075	21		exact	SAT	1	11.9
r076	21		exact	SAT	1	13.5
r077	21		exact	SAT	1	9.2
r078	21		exact	SAT	1	12.9
r079	21		exact	SAT	1	8.3
r080	21		exact	SAT	1	13.7
r081	21		exact	SAT	1	4.6
r082	21		exact	SAT	1	7.6
r083	21		exact	SAT	1	11.9
r084	21		exact	SAT	1	13.6
r085	21		exact	SAT	1	11.8
r086	21		exact	SAT	1	14.0
r087	21		exact	SAT	1	19.0
r088	21		exact	SAT	1	19.6
r089	21		exact	SAT	1	15.3
r090	21		exact	SAT	1	14.7
r091	21		exact	SAT	1	13.0
r092	21		exact	SAT	1	13.9
r093	21		exact	SAT	1	10.5
r094	21		exact	SAT	1	12.7
r095	21		exact	SAT	1	11.0
r096	21		exact	SAT	1	13.1
r097	21		exact	SAT	1	24.7
r098	21		exact	SAT	1	56.2
r099	21		exact	SAT	1	14.0
r100	21		exact	SAT	1	24.1
r101	21		exact	SAT	1	15.1
r102	21		exact	SAT	1	15.4
